substance,cscn,csa_schedule,narcotic,other_names
"[3,2-c]-Furazan-5α-androstan-17β-ol",4000,III,N,
"[3,2-c]Pyrazole-androst-4-en-17β-ol",4000,III,N,
"17α-Methyl-3α,17β-dihydroxy-5α-androstane",4000,III,N,
"17α-Methyl-3β,17β-dihydroxy-5α-androstane",4000,III,N,
"17α-Methyl-3β,17β-dihydroxyandrost-4-ene",4000,III,N,
17α-Methyl-4-hydroxynandrolone (17α-methyl-4-hydroxy-17β-hydroxyestr-4-en-3-one),4000,III,N,
17α-Methyl-5α-androstan-17β-ol,4000,III,N,
"17α-Methyl-androst-2-ene-3,17β-diol",4000,III,N,
"17α-Methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,
17α-Methyl-androstan-3-hydroxyimine-17β-ol,4000,III,N,
17α-Methyl-Δ1-dihydrotestosterone (17β-hydroxy-17α-methyl-5α-androst-1-en-3-one),4000,III,N,17α-Methyl-1-testosterone
"17β-Hydroxy-androstano[2,3-d]isoxazole",4000,III,N,
"17β-Hydroxy-androstano[3,2-c]isoxazole",4000,III,N,
"19-Nor-4,9(10)-androstadienedione (estra-4,9(10)-diene-3,17-dione)",4000,III,N,
"19-Nor-4-androstenediol (3α,17β-dihydroxyestr-4-ene)",4000,III,N,
"19-Nor-4-androstenediol (3β,17β-dihydroxyestr-4-ene)",4000,III,N,
"19-Nor-4-androstenedione (estr-4-en-3,17-dione)",4000,III,N,
"19-Nor-5-androstenediol (3α,17β-dihydroxyestr-5-ene)",4000,III,N,
"19-Nor-5-androstenediol (3β,17β-dihydroxyestr-5-ene)",4000,III,N,
"19-Nor-5-androstenedione (estr-5-en-3,17-dione)",4000,III,N,
"1-Androstenediol (3α,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,
"1-Androstenediol (3β,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,
"1-Androstenedione (5α-androst-1-en-3,17-dione)",4000,III,N,
"2α,17α-Dimethyl-17β-hydroxy-5β-androstan-3-one",4000,III,N,
"2α,3α-Epithio-17α-methyl-5α-androstan-17β-ol",4000,III,N,
"3α,17β-Dihydroxy-5α-androstane",4000,III,N,
"3β,17β-Dihydroxy-5α-androstane",4000,III,N,
"4-Androstenediol (3β,17β-dihydroxy-androst-4-ene)",4000,III,N,4-AD
"4-Androstenedione (androst-4-en-3,17-dione)",4000,III,N,
4-Chloro-17α-methyl-17β-hydroxy-androst-4-en-3-one,4000,III,N,
"4-Chloro-17α-methyl-17β-hydroxy-androst-4-ene-3,11-dione",4000,III,N,
"4-Chloro-17α-methyl-androst-4-ene-3β,17β-diol",4000,III,N,
"4-Chloro-17α-methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,
4-Dihydrotestosterone (17β-hydroxy-androstan-3-one),4000,III,N,Anabolex; Andractim; Pesomax; Stanolone
"4-Hydroxy-19-nortestosterone (4,17β-dihydroxyestr-4-en-3-one)",4000,III,N,
"4-Hydroxy-androst-4-ene-3,17-dione",4000,III,N,"Listed as 4-Hydroxy-androst-4-ene-3,17-dione[3,2-c]pyrazole-5α-androstan-17β-ol"
"4-Hydroxytestosterone (4,17β-dihydroxyandrost-4-en-3-one)",4000,III,N,
"5-Androstenediol (3β,17β-dihydroxy-androst-5-ene)",4000,III,N,
"5-Androstenedione (androst-5-en-3,17-dione)",4000,III,N,
"5α-Androstan-3,17-dione",4000,III,N,Androstanedione
"5α-Androstan-3,6,17-trione",4000,III,N,
"6-Bromo-androsta-1,4-diene-3,17-dione",4000,III,N,
"6-Bromo-androstan-3,17-dione",4000,III,N,
"6α-Methyl-androst-4-ene-3,17-dione",4000,III,N,
Anabolic steroids,4000,III,N,Any substance meeting the definition of anabolic steroid as set forth in 21 CFR 1300.01
"Bolasterone (7α,17α-dimethyl-17β-hydroxyandrost-4-en-3-one)",4000,III,N,
"Boldenone (17β-hydroxyandrost-1,4-diene-3-one)",4000,III,N,Equipoise; Parenabol; Vebonol; dehydrotestosterone
"Boldione (androsta-1,4-diene-3,17-dione)",4000,III,N,
"Calusterone (7β,17α-dimethyl-17β-hydroxyandrost-4-en-3-one)",4000,III,N,Methosarb
Clostebol (4-chloro-17β-hydroxyandrost-4-en-3-one),4000,III,N,Alfa-Trofodermin; Clostene; 4-chlorotestosterone
"Dehydrochloromethyltestosterone (4-chloro-17β-hydroxy-17α-methyl-androst-1,4-dien-3-one)",4000,III,N,Oral-Turinabol
Desoxymethyltestosterone (17α-methyl-5α-androst-2-en-17β-ol),4000,III,N,Madol
Drostanolone (17β-hydroxy-2α-methyl-5α-androstan-3-one),4000,III,N,Drolban; Masterid; Permastril
Ethylestrenol (17α-ethyl-17β-hydroxyestr-4-ene),4000,III,N,Maxibolin; Orabolin; Durabolin-O; Duraboral
"Fluoxymesterone (9-fluoro-17α-methyl-11β,17β-dihydroxyandrost-4-en-3-one)",4000,III,N,Anadroid-F; Halotestin; Ora-Testryl
"Formebolone (2-formyl-17α-methyl-11α,17β-dihydroxyandrost-1,4-dien-3-one)",4000,III,N,Esiclene; Hubernol
"Furazabol (17α-methyl-17β-hydroxyandrostano[2,3-c]-furazan)",4000,III,N,Frazalon; Miotolon; Qu Zhi Shu
Mestanolone (17α-methyl-17β-hydroxy-5α-androstan-3-one),4000,III,N,Assimil; Ermalone; Methybol; Tantarone
Mesterolone (1α-methyl-17β-hydroxy-5α-androstan-3-one),4000,III,N,Androviron; Proviron; Testiwop
"Methandienone (17α-methyl-17β-hydroxyandrost-1,4-dien-3-one)",4000,III,N,Dianabol; Metabolina; Nerobol; Perbolin
"Methandriol (17α-methyl-3β,17β-dihydroxyandrost-5-ene)",4000,III,N,Sinesex; Stenediol; Troformone
"Methasterone (2α,17α-dimethyl-5α-androstan-17β-ol-3-one)",4000,III,N,"Methasterone; 2α,17α-dimethyl-17β-hydroxy-5α-androstan-3-one"
Methenolone (1-methyl-17β-hydroxy-5α-androst-1-en-3-one),4000,III,N,Primobolan; Primobolan Depot; Primobolan S
Methyltestosterone (17α-methyl-17β-hydroxyandrost-4-en-3-one),4000,III,N,Android; Oreton; Testred; Virilon
"Mibolerone (7α,17α-dimethyl-17β-hydroxyestr-4-en-3-one)",4000,III,N,Cheque; Matenon
Nandrolone (17β-hydroxyestr-4-en-3-one),4000,III,N,Deca-Durabolin; Durabolin; Durabolin-50
Norclostebol (4-chloro-17β-hydroxyestr-4-en-3-one),4000,III,N,Anabol-4-19; Lentabol
Oxandrolone (17α-methyl-17β-hydroxy-2-oxa-5α-androstan-3-one),4000,III,N,Anavar; Lonavar; Oxandrin; Provitar; Vasorome
