substance,cscn,csa_schedule,narcotic,other_names
Aprobarbital,2100,III,N,Alurate
Barbituric acid derivative,2100,III,N,Barbiturates not specifically listed
Butabarbital (secbutabarbital),2100,III,N,Butisol; Butibel
Butalbital,2100,III,N,Fiorinal; Butalbital with aspirin
Butobarbital (butethal),2100,III,N,Soneryl (UK)
Talbutal,2100,III,N,Lotusate
Thiamylal,2100,III,N,Surital
Vinbarbital,2100,III,N,Delvinal; vinbarbitone
Amobarbital,2125,II,N,Amytal; Tuinal
Amobarbital & noncontrolled active ingred.,2126,III,N,
Amobarbital suppository dosage form,2126,III,N,
Barbital,2145,IV,N,Veronal; Plexonal; barbitone
Suvorexant,2223,IV,N,"MK-4305; [(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl][5-methyl-2-(2H-1,2,3-triazol-2-yl)phenyl]methanone"
Lemborexant,2245,IV,N,"(1R,2S)-2-[(2,4-Dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)-N-(5-fluoropyridin-2-yl)cyclopropane-1-carboxamide"
Methylphenobarbital (mephobarbital),2250,IV,N,Mebaral; mephobarbital
Pentobarbital & noncontrolled active ingred.,2271,III,N,FP-3
Pentobarbital suppository dosage form,2271,III,N,WANS
Secobarbital,2315,II,N,Seconal; Tuinal
Secobarbital & noncontrolled active ingred,2316,III,N,
Secobarbital suppository dosage form,2316,III,N,
