substance,cscn,csa_schedule,narcotic,other_names
Bromazepam,2748,IV,N,Lexotan; Lexatin; Lexotanil
Camazepam,2749,IV,N,Albego; Limpidon; Paxor
Clobazam,2751,IV,N,Urbadan; Urbanyl
Clotiazepam,2752,IV,N,Trecalmo; Rize; Clozan; Veratran
Cloxazolam,2753,IV,N,Akton; Lubalix; Olcadil; Sepazon
Delorazepam,2754,IV,N,
Estazolam,2756,IV,N,ProSom; Domnamid; Eurodin; Nuctalon
Fludiazepam,2759,IV,N,
Halazepam,2762,IV,N,Paxipam
Flunitrazepam,2763,IV,N,Rohypnol; Narcozep; Darkene; Roipnol
Prazepam,2764,IV,N,Centrax
Flurazepam,2767,IV,N,Dalmane
Clorazepate,2768,IV,N,Tranxene
Haloxazolam,2771,IV,N,
Ketazolam,2772,IV,N,Anxon; Loftran; Solatran; Contamex
Loprazolam,2773,IV,N,
Lormetazepam,2774,IV,N,Noctamid
Nitrazepam,2834,IV,N,Mogadon
Oxazepam,2835,IV,N,Serax; Serenid-D
Medazepam,2836,IV,N,Nobrium
Nimetazepam,2837,IV,N,Erimin
Nordiazepam,2838,IV,N,Nordazepam; Demadar; Madar
Oxazolam,2839,IV,N,Serenal; Convertal
"Remimazolam (4H-imidazol[1,2-a][1,4]benzodiazepine-4-propionic acid)",2846,IV,N,"8-Bromo-1-methyl-6-(2-pyridinyl)-(4S)-methyl ester, benzenesulfonate (1:1); methyl 3-[(4S)-8-bromo-1-methyl-6-pyridin-2-yl-4H-imidazo[1,2-a][1,4]benzodiazepin-4yl]propanoate benzenesulfonic acid"
Quazepam,2881,IV,N,Doral
Pinazepam,2883,IV,N,Domar
Tetrazepam,2886,IV,N,Myolastan; Musaril
Triazolam,2887,IV,N,Halcion
Temazepam,2925,IV,N,Restoril
Ethyl loflazepate,2758,IV,N,
Mebutamate,2800,IV,N,Capla
Alprazolam,2882,IV,N,Xanax
