substance,cscn,csa_schedule,narcotic,other_names
Gamma Hydroxybutyric Acid preparations,2012,III,N,Xyrem
Embutramide,2020,III,N,Tributane
Brexanolone (3α-hydroxy-5α-pregnan-20-one),2400,IV,N,Allopregnanolone
Ganaxolone (3α-hydroxy-3β-methyl-5α-pregnan-20-one),2401,V,N,
"Daridorexant ([(S)-2-(5-chloro-4-methyl-1H benzo[d]imidazol-2-yl)-2methylpyrrolidin-1-yl](5-methoxy-2-(2H-1,2,3-triazol-2-yl)phenyl)methanone)",2410,IV,N,QUVIVIQ
Zuranolone,2420,IV,N,ZURZUVAE
Chloral betaine,2460,IV,N,Beta Chlor
Chloral hydrate,2465,IV,N,Noctec
Dichloralphenazone,2467,IV,N,Midrin; dichloralantipyrine
Chlorhexadol,2510,III,N,Mechloral; Mecoral; Medodorm; Chloralodol
Ethchlorvynol,2540,IV,N,Placidyl
Ethinamate,2545,IV,N,Valmid; Valamin
Glutethimide,2550,II,N,Doriden; Dorimide
Methyprylon,2575,III,N,Noludar
Paraldehyde,2585,IV,N,Paral
Petrichloral,2591,IV,N,Pentaerythritol chloral; Periclor
Sulfondiethylmethane,2600,III,N,
Sulfonethylmethane,2605,III,N,
Sulfonmethane,2610,III,N,
Cenobamate ([(1R)-1-(2-chlorophenyl)-2-(tetrazol-2-yl)ethyl]carbamate),2720,V,N,"2H-Tetrazole-2-ethanol, alpha-(2-chlorophenyl)-, carbamate (ester), (alphaR)-; carbamic acid ®-(+)-1-(2-chlorophenyl)-2-(2H-tetrazol-2-yl)ethyl ester)"
Alfaxalone,2731,IV,N,"Alfaxan; 5α-pregnan-3α-ol-11,20-dione"
Lacosamide,2746,V,N,Vimpat
Zolpidem,2783,IV,N,Ambien; Ivadal; Stilnoct; Stilnox
Zopiclone,2784,IV,N,Lunesta
"Lasmiditan [2,4,6-trifluoro-N-(6-(1-methylpiperidine-4-carbonyl)pyridine-2-yl-benzamide]",2790,V,N,Reyvow
Ezogabine,2779,V,N,Potiga
Zaleplon,2781,IV,N,Sonata
Pregabalin,2782,V,N,Lyrica
Meprobamate,2820,IV,N,Miltown; Equanil; Micrainin; Equagesic; Meprospan
Tiletamine & Zolazepam Combination Product,7295,III,N,Telazol
Carisoprodol,8192,IV,N,Soma
Phenylacetone,8501,II,N,P2P; phenyl-2-propanone; benzyl methyl ketone
