substance,cscn,csa_schedule,narcotic,other_names
Isomethadone,9226,II,Y,Isoamidone
Meperidine intermediate-A,9232,II,Y,Meperidine precursor
Meperidine intermediate-B,9233,II,Y,Meperidine precursor; normeperidine
Meperidine intermediate-C,9234,II,Y,Meperidine precursor
Ethylmorphine,9190,II,Y,Dionin
Levomethorphan,9210,II,Y,
Metazocine,9240,II,Y,
"Methadone intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)",9254,II,Y,Methadone precursor
Metopon,9260,II,Y,
"Dextropropoxyphene, bulk (non-dosage forms)",9273,II,Y,Propoxyphene
Dextropropoxyphene dosage forms,9278,IV,Y,Darvon; propoxyphene; Darvocet; Propacet
Oripavine,9330,II,Y,
Thebaine,9333,II,Y,Precursor of many narcotics
Dihydroetorphine,9334,II,Y,DHE
Nalorphine,9400,III,Y,Nalline
"Opium, raw",9600,II,Y,Raw opium; gum opium
Opium extracts,9610,II,Y,
Opium fluid extract,9620,II,Y,
Opium tincture,9630,II,Y,Laudanum
"Opium, powdered",9639,II,Y,Powdered opium
"Opium, granulated",9640,II,Y,Granulated opium
Levo-alphacetylmethadol,9648,II,Y,LAAM; long acting methadone; levomethadyl acetate
Opium poppy Opium preparations - 100 mg/(100 ml or 100 gm),9650,II,Y,Papaver somniferum Parepectolin; Kapectolin PG; Kaolin Pectin P.G.
Poppy Straw,9650,II,Y,Opium poppy capsules; poppy heads
Noroxymorphone,9668,II,Y,
Poppy Straw Concentrate,9670,II,Y,"Concentrate of Poppy Straw, CPS"
Phenazocine,9715,II,Y,Narphen; Prinadol
Eluxadoline,9725,IV,N,VIBERZI
Thiafentanil,9729,II,Y,Thianil
Piminodine,9730,II,Y,
Racemethorphan,9732,II,Y,
Racemorphan,9733,II,Y,Dromoran
Carfentanil,9743,II,Y,Wildnil
Bezitramide,9800,II,Y,Burgodin
Moramide-intermediate,9802,II,Y,
Codeine & isoquinoline alkaloid 90 mg/du,9803,III,Y,Codeine with papaverine or noscapine
Codeine combination product 90 mg/du,9804,III,Y,Empirin; Fiorinal; Tylenol; ASA or APAP w/codeine
Dihydrocodeine combination product 90 mg/du Dihydrocodeine preparations 100mg/(100 ml or 100 gm),9807,III,Y,"Synalgos-DC; Compal Cophene-S, various others"
Ethylmorphine combination product 15 mg/du Ethylmorphine preparations 100 mg/(100 ml or 100 gm),9808,III,Y,
Opium combination product 25 mg/du,9809,III,Y,"Paregoric, other combination products"
Morphine combination product/50 mg/(100 ml or 100 gm),9810,III,Y,
4-Anilino-N-phenethyl-4-piperidine (ANPP),8333,II,N,ANPP; despropionyl fentanyl
Norfentanyl (N-phenyl-N-(piperidin-4-yl)propionamide),8366,II,Y,
Difenoxin 1 mg/25 ug AtSO4/du Difenoxin preparations - 0.5 mg/25 ug AtSO4/du,9167,IV,Y,Motofen Motofen
Diphenoxylate,9170,II,Y,
Alphaprodine,9010,II,Y,Nisentil
Anileridine,9020,II,Y,Leritine
Etorphine HCl,9059,II,Y,M 99
