substance,cscn,csa_schedule,narcotic,other_names
(1-((1-Methylpiperidin-2-yl)methyl)-1H-indol-3-yl)(naphthalen-1-yl)methanone (AM–1220),7000,I,N,
"(1-(4-Fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",7014,I,N,FUB-144
(1-(5-Fluoropentyl)-1H-indol-3-yl)(4-methylnaphthalen-1-yl)methanone (MAM–2201),7000,I,N,
(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone (JWH–147),7000,I,N,
(2-Iodophenyl)(1-((1-methylpiperidin-2-yl)methyl)-1H-indol-3-yl)methanone (AM–2233),7000,I,N,
(2-Methyl-1-pentyl-1H-indol-3-yl)(naphthalen-1-yl)methanone (JWH–007),7000,I,N,
(4-Ethylnaphthalen-1-yl)(1-(5-fluoropentyl)-1H-indol-3-yl)methanone (EAM–2201),7000,I,N,
(4-Ethylnaphthalen-1-yl)(1-pentyl-1H-indol-3-yl)methanone (JWH–210),7000,I,N,
(4-Fluoronaphthalen-1-yl)(1-pentyl-1H-indol-3-yl)methanone (JWH–412),7000,I,N,
(4-Methoxynaphthalen-1-yl)(2-methyl-1-pentyl-1H-indol-3-yl)methanone (JWH–098),7000,I,N,
(4-Methylnaphthalen-1-yl)(1-(2-morpholinoethyl)-1H-indol-3-yl)methanone (JWH–193),7000,I,N,
(5-(2-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone (JWH–307),7000,I,N,
"(5-Methyl-3-(morpholinomethyl)-2,3-dihydro-[1,4]oxazino[2,3,4-hi]indol-6-yl)(naphthalen-1-yl)methanone (WIN 55,212–2)",7000,I,N,
"[3,2-c]-Furazan-5α-androstan-17β-ol",4000,III,N,
"[3,2-c]Pyrazole-androst-4-en-17β-ol",4000,III,N,
"1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)pentan-1-one",7552,I,N,"Dipentylone; N,N-dimethylpentylone"
1-(1-Phenylcyclohexyl)pyrrolidine,7458,I,N,PCPy; PHP; rolicyclidine
1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,9663,I,Y,PEPAP; synthetic heroin
1-(5-Fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide,7083,I,N,5F-CUMYL-PINACA; SGT-25
1-[1-(2-Thienyl)cyclohexyl]piperidine,7470,I,N,TCP; tenocyclidine
1-[1-(2-Thienyl)cyclohexyl]pyrrolidine,7473,I,N,TCPy
13β-Ethyl-17β-hydroxygon-4-en-3-one,4000,III,N,
"17α-Methyl-3α,17β-dihydroxy-5α-androstane",4000,III,N,
"17α-Methyl-3β,17β-dihydroxy-5α-androstane",4000,III,N,
"17α-Methyl-3β,17β-dihydroxyandrost-4-ene",4000,III,N,
17α-Methyl-4-hydroxynandrolone (17α-methyl-4-hydroxy-17β-hydroxyestr-4-en-3-one),4000,III,N,
17α-Methyl-5α-androstan-17β-ol,4000,III,N,
"17α-Methyl-androst-2-ene-3,17β-diol",4000,III,N,
"17α-Methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,
17α-Methyl-androstan-3-hydroxyimine-17β-ol,4000,III,N,
17α-Methyl-Δ1-dihydrotestosterone (17β-hydroxy-17α-methyl-5α-androst-1-en-3-one),4000,III,N,17α-Methyl-1-testosterone
"17β-Hydroxy-androstano[2,3-d]isoxazole",4000,III,N,
"17β-Hydroxy-androstano[3,2-c]isoxazole",4000,III,N,
"18a-Homo-3-hydroxy-estra-2,5(10)-dien-17-one",4000,III,N,
"19-Nor-4,9(10)-androstadienedione (estra-4,9(10)-diene-3,17-dione)",4000,III,N,
"19-Nor-4-androstenediol (3α,17β-dihydroxyestr-4-ene)",4000,III,N,
"19-Nor-4-androstenediol (3β,17β-dihydroxyestr-4-ene)",4000,III,N,
"19-Nor-4-androstenedione (estr-4-en-3,17-dione)",4000,III,N,
"19-Nor-5-androstenediol (3α,17β-dihydroxyestr-5-ene)",4000,III,N,
"19-Nor-5-androstenediol (3β,17β-dihydroxyestr-5-ene)",4000,III,N,
"19-Nor-5-androstenedione (estr-5-en-3,17-dione)",4000,III,N,
"1-Androstenediol (3α,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,
"1-Androstenediol (3β,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,
"1-Androstenedione (5α-androst-1-en-3,17-dione)",4000,III,N,
1-Methyl-4-phenyl-4-propionoxypiperidine,9661,I,Y,MPPP; synthetic heroin
1-Phenylcyclohexylamine,7460,II,N,PCP precursor
1-Piperidinocyclohexanecarbonitrile,8603,II,N,PCC; PCP precursor
"2-(2-((2,3-Dihydrobenzofuran-5-yl)methyl)-5-nitro-1H-benzimidazol-1-yl)-N,N-diethylethan-1-amine",9770,I,Y,Ethyleneoxynitazene
"2-(2-(4-Ethoxybenzyl)-5-methyl-1H-benzimidazol-1-yl)-N,N-diethylethan-1-amine",9767,I,Y,5-Methyl etodesnitazene
"2-(2-(4-Ethoxybenzyl)-5-nitro-1H-benzimidazol-1-yl)-N,N-dimethylethan-1-amine",9771,I,Y,"N,N-Dimethylamino etonitazene"
2-(2-(4-Ethoxybenzyl)-5-nitro-1H-benzimidazol-1-yl)-N-ethylethan-1-amine,9768,I,Y,N-Desethyl etonitazene
"2-(2-(Benzodioxol-5-ylmethyl)-5-nitro-1H-benzimidazol-1-yl)-N,N-diethylethan-1-amine",9766,I,Y,"Methylenedioxynitazene; 3′,4′-Methylenedioxynitazene"
"2-(2,5-Dimethoxy-4-(n)-propylphenyl) ethanamine (2C-P)",7524,I,N,2C-P
"2-(2,5-Dimethoxy-4-ethylphenyl) ethanamine (2C-E)",7509,I,N,"2C-E (Positional Isomer: 2,5-Dimethoxy-3,4-dimethylphenethylamine (2C-G))"
"2-(2,5-Dimethoxy-4-methylphenyl) ethanamine (2C-D)",7508,I,N,2C-D
"2-(2,5-Dimethoxy-4-nitro-phenyl) ethanamine (2C-N)",7521,I,N,2C-N
"2-(2,5-Dimethoxyphenyl) ethanamine (2C-H)",7517,I,N,2C-H
"2-(3-Hydroxycyclohexyl)-5-(2-methyldecan-2-yl)phenol (CP–47,497 C9 homolog)",7000,I,N,
"2-(3-Hydroxycyclohexyl)-5-(2-methylheptan-2-yl)phenol (CP–47,497 C6 homolog)",7000,I,N,
2-(3-Methoxyphenyl)-1-(1-pentyl-1H-indol-3-yl)ethan-1-one (JWH–302),7000,I,N,
"2-(4-Bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl) ethanamine (25B-NBOMe)",7536,I,N,25B-NBOMe; 2C-B-NBOMe; 25B; Cimbi-36
"2-(4-Chloro-2,5-dimethoxyphenyl) ethanamine (2C-C)",7519,I,N,2C-C
"2-(4-Chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl) ethanamine (25C-NBOMe)",7537,I,N,25C-NBOMe; 2C-C-NBOMe; 25C; Cimbi-82
"2-(4-Ethylthio-2,5-dimethoxyphenyl) ethanamine (2C-T-2)",7385,I,N,2C-T-2
"2-(4-Iodo-2,5-dimethoxyphenyl) ethanamine (2C-I)",7518,I,N,2C-I
"2-(4-Iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl) ethanamine (25I-NBOMe)",7538,I,N,"25I-NBOMe, 2C-I-NBOMe, 25I, Cimbi-5"
2-(4-Isopropoxybenzyl)-5-nitro-1-(2-(pyrrolidin-1-yl)ethyl)-1H-benzimidazole,9772,I,Y,N-Pyrrolidino isotonitazene
"2-(4-Isopropylthio)-2,5-dimethoxyphenyl) ethanamine (2C-T-4)",7532,I,N,"2C-T-4 (Positional Isomer: 2,5-Dimethoxy-4-ethylthioamphetamine (Aleph-2))"
2-(4-Methoxybenzyl)-5-nitro-1-(2-(pyrrolidin-1-yl)ethyl)-1H-benzimidazole (N-pyrrolidino metonitazene),9762,I,Y,Metonitazepyne
"2-(5-Hydroxy-2-(3-hydroxypropyl)cyclohexyl)-5-(2-methyloctan-2-yl)phenol (CP–55,940)",7000,I,N,
2-(Ethylamino)-2-(3-methoxyphenyl)cyclohexan-1-one (methoxetamine),7286,I,N,MXE; methoxetamine
"2,5-Dimethoxy-4-(n)-propylthiophenethylamine (2C-T-7)",7348,I,N,"2C-T-7 (Positional Isomer: 2,5-Dimethoxy-4-ethylthioamphetamine (Aleph-2))"
"2,5-Dimethoxy-4-ethylamphetamine",7399,I,N,"DOET (Positional Isomer: 1-(2,5-dimethoxy-4-methylphenyl)butan-2-amine)"
"2,5-Dimethoxyamphetamine",7396,I,N,"DMA; 2,5-DMA"
"2',5'-Dimethoxyfentanyl (N-(1-(2,5-dimethoxyphenethyl)piperidin-4-yl)-N-phenylpropionamide)",9861,I,Y,
2'-Fluoro ortho-fluorofentanyl (N-(1-(2-fluorophenethyl)piperidin-4-yl)-N-(2-fluorophenyl)propionamide; also known as 2'-fluoro 2-fluorofentanyl),9855,I,Y,
2-Fluorodeschloroketamine,7284,I,N,2-(2-Fluorophenyl)-2-(methylamino)cyclohexan-1-one; 2-FDCK
2-Methoxy-N-(1-phenethylpiperidin-4-yl)-N-phenylacetamide,9825,I,Y,Methoxyacetyl fentanyl
2-Methyl AP-237 (1-(2-methyl-4-(3-phenylprop-2-en-1-yl)piperazin-1-yl)butan-1-one),9664,I,Y,
"2α,17α-Dimethyl-17β-hydroxy-5β-androstan-3-one",4000,III,N,
"2α,3α-Epithio-17α-methyl-5α-androstan-17β-ol",4000,III,N,
3-((4-Methylnaphthalen-1-yl)methyl)-1-pentyl-1H-indole (JWH–184),7000,I,N,
"3,4,5-Trimethoxyamphetamine",7390,I,N,"TMA (Positional Isomers: 2,4,5-Trimethoxy-amphetamine (TMA-5), 2,4,6-Trimethoxy-amphetamine (TMA-6), Escaline)"
"3,4-Methylenedioxyamphetamine",7400,I,N,"MDA; Love Drug (Positional Isomer: 2,3-methylenedioxyamphetamine (2,3-MDA))"
"3,4-Methylenedioxymethamphetamine",7405,I,N,"MDMA; Ecstasy; XTC (Positional Isomer: 3,4-methylenedioxyphenyl-2-butanamine (BDB))"
"3,4-Methylenedioxy-N-ethylamphetamine",7404,I,N,N-Ethyl MDA; MDE; MDEA (Positional Isomer: MBDB)
3-Fluoro-N-methylcathinone (3-FMC),1233,I,N,1-(3-Fluorophenyl)-2-(methylamino)propan-1-one (Positional Isomer: 2-FMC)
3-Furanyl fentanyl (N-(1-phenethylpiperidin-4-yl)-N-phenylfuran-3-carboxamide),9860,I,Y,
3-Methoxyphencyclidine,7457,I,N,1-(1-(3-Methoxyphenyl)cyclohexyl)piperidine; 3-MeO–PCP
3-Methylfentanyl,9813,I,Y,China White; fentanyl
3-Methylmethcathinone (2-(methylamino)-1-(3-methylphenyl)propan-1-one),1259,I,N,3-MMC; 3-methylmethcathinone
3-Methylthiofentanyl,9833,I,Y,China White; fentanyl
"3α,17β-Dihydroxy-5α-androstane",4000,III,N,
"3β,17β-Dihydroxy-5α-androstane",4000,III,N,
"3β-Hydroxy-estra-4,9,11-trien-17-one",4000,III,N,
"4,4′-Dimethylaminorex (4,4′-DMAR; 4,5-dihydro-4-methyl-5-(4-methylphenyl)-2-oxazolamine; 4-methyl-5-(4-methylphenyl)-4,5-dihydro-1,3-oxazol-2-amine)",1595,I,N,
4´-Methyl-alpha-pyrrolidinohexiophenone (MPHP),7446,I,N,MPHP; 4'-methyl-alpha-pyrrolidinohexanophenone; 1-(4-methylphenyl)-2-(pyrrolidin-1-yl)hexan-1-one (Positional Isomer: 2-methyl-α-pyrrolidinoisohexanophenone (2-Me-α-PiHP))
"4-Androstenediol (3β,17β-dihydroxy-androst-4-ene)",4000,III,N,4-AD
"4-Androstenedione (androst-4-en-3,17-dione)",4000,III,N,
4-Anilino-N-phenethyl-4-piperidine (ANPP),8333,II,N,ANPP; despropionyl fentanyl
"4-Bromo-2,5-dimethoxyamphetamine",7391,I,N,DOB; 4-bromo-DMA
"4-Bromo-2,5-dimethoxyphenethylamine",7392,I,N,"2C-B; Nexus; has been sold as Ecstasy, i.e. MDMA"
4-Chloro-17α-methyl-17β-hydroxy-androst-4-en-3-one,4000,III,N,
"4-Chloro-17α-methyl-17β-hydroxy-androst-4-ene-3,11-dione",4000,III,N,
"4-Chloro-17α-methyl-androst-4-ene-3β,17β-diol",4000,III,N,
"4-Chloro-17α-methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,
4'-Chloro-alpha-pyrrolidinovalerophenone (4-chloro-α-PVP),7443,I,N,4-Chloro-α-PVP; 4'-chloro-α-pyrrolidinopentiophenone; 1-(4-chlorophenyl)-2-(pyrrolidin-1-yl)pentan-1-one
4-Chloromethcathinone,1239,I,N,4-CMC; 1-(4-chlorophenyl)-2-(methylamino)propan-1-one
4-CN-CUMYL-BUTINACA (1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1 H-indazole-3-carboxamide),7089,I,N,4-Cyano-CUMYL-BUTINACA; 4-CN-CUMYL BINACA; CUMYL-4CN-BINACA; SGT-78
4-Dihydrotestosterone (17β-hydroxy-androstan-3-one),4000,III,N,Anabolex; Andractim; Pesomax; Stanolone
