rxcui,name,synonym,tty,language,suppress,umlscui,psn
1148482,24 HR tramadol hydrochloride 100 MG Extended Release Oral Capsule [ConZip],24 HR ConZip 100 MG Extended Release Oral Capsule,SBD,ENG,N,,
1148487,24 HR tramadol hydrochloride 200 MG Extended Release Oral Capsule [ConZip],24 HR ConZip 200 MG Extended Release Oral Capsule,SBD,ENG,N,,
1148491,24 HR tramadol hydrochloride 300 MG Extended Release Oral Capsule [ConZip],24 HR ConZip 300 MG Extended Release Oral Capsule,SBD,ENG,N,,
2395814,tramadol hydrochloride 5 MG/ML Oral Solution [Qdolo],Qdolo 5 MG/ML Oral Solution,SBD,ENG,N,,
2588484,celecoxib 56 MG / tramadol hydrochloride 44 MG Oral Tablet [Seglentis],Seglentis (celecoxib 56 MG / tramadol hydrochloride 44 MG (equivalent to tramadol 39 MG) ) Oral Tablet,SBD,ENG,N,,
835605,tramadol hydrochloride 50 MG Oral Tablet [Ultram],Ultram 50 MG Oral Tablet,SBD,ENG,N,,
836397,acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet [Ultracet],APAP 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet [Ultracet],SBD,ENG,N,,
845315,24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet [Ultram],24 HR Ultram 200 MG Extended Release Oral Tablet,SBD,ENG,N,,
845316,24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet [Ultram],24 HR Ultram 300 MG Extended Release Oral Tablet,SBD,ENG,N,,
1148478,24 HR tramadol hydrochloride 100 MG Extended Release Oral Capsule,,SCD,ENG,N,,
1148485,24 HR tramadol hydrochloride 200 MG Extended Release Oral Capsule,tramadol hydrochloride 200 MG 24 HR Extended Release Oral Capsule,SCD,ENG,N,,
1148489,24 HR tramadol hydrochloride 300 MG Extended Release Oral Capsule,tramadol hydrochloride 300 MG 24 HR Extended Release Oral Capsule,SCD,ENG,N,,
1248115,24 HR tramadol hydrochloride 150 MG Extended Release Oral Capsule,tramadol HCl 150 MG 24 HR Extended Release Oral Capsule,SCD,ENG,N,,
1946525,Matrix Delivery 24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet,tramadol hydrochloride 300 MG Matrix Delivery 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
1946527,Matrix Delivery 24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet,tramadol hydrochloride 200 MG Matrix Delivery 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
1946529,Matrix Delivery 24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet,tramadol hydrochloride 100 MG Matrix Delivery 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
2179635,tramadol hydrochloride 100 MG Oral Tablet,tramadol HCl 100 MG Oral Tablet,SCD,ENG,N,,
2395808,tramadol hydrochloride 5 MG/ML Oral Solution,tramadol hydrochloride 5 MG per 1 ML Oral Solution,SCD,ENG,N,,
2588478,celecoxib 56 MG / tramadol hydrochloride 44 MG Oral Tablet,celecoxib 56 MG / tramadol hydrochloride 44 MG (equivalent to tramadol 39 MG) Oral Tablet,SCD,ENG,N,,
2670390,tramadol hydrochloride 25 MG Oral Tablet,,SCD,ENG,N,,
2692878,tramadol hydrochloride 75 MG Oral Tablet,,SCD,ENG,N,,
833709,24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet,tramadol hydrochloride 100 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
833711,24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet,tramadol HCl 200 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
833713,24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet,tramadol hydrochloride 300 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
835603,tramadol hydrochloride 50 MG Oral Tablet,,SCD,ENG,N,,
836395,acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet,APAP 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet,SCD,ENG,N,,
836408,tramadol hydrochloride 50 MG Disintegrating Oral Tablet,,SCD,ENG,N,,
836466,tramadol hydrochloride 50 MG Oral Capsule,,SCD,ENG,N,,
836485,tramadol hydrochloride 1 MG/ML Oral Solution,,SCD,ENG,N,,
849329,tramadol hydrochloride 50 MG/ML Injectable Solution,,SCD,ENG,N,,
849331,tramadol hydrochloride 75 MG Extended Release Oral Tablet,,SCD,ENG,N,,
849561,12 HR tramadol hydrochloride 150 MG Extended Release Oral Tablet,tramadol hydrochloride 150 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
849903,tramadol hydrochloride 50 MG Extended Release Oral Capsule,,SCD,ENG,N,,
