rxcui,name,synonym,tty,language,suppress,umlscui,psn
1721313,{7 (perampanel 4 MG Oral Tablet [FYCOMPA]) / 7 (perampanel 6 MG Oral Tablet [FYCOMPA]) } Pack [Fycompa 4/6 Sample Pack],Fycompa 4/6 2 Week Sample Kit,BPCK,ENG,N,,
2641919,{14 (perampanel 2 MG Oral Tablet [FYCOMPA]) } Pack [Fycompa 2 MG 2-Week Sample Kit],Fycompa 2 MG 2-Week Sample Kit,BPCK,ENG,N,,
1721312,{7 (perampanel 4 MG Oral Tablet) / 7 (perampanel 6 MG Oral Tablet) } Pack,perampanel 4/6 2 week sample pack,GPCK,ENG,N,,
2641918,{14 (perampanel 2 MG Oral Tablet) } Pack,perampanel 2 MG 2-Week Sample Kit,GPCK,ENG,N,,
1356563,perampanel 2 MG Oral Tablet [FYCOMPA],Fycompa 2 MG Oral Tablet,SBD,ENG,N,,
1356572,perampanel 4 MG Oral Tablet [FYCOMPA],Fycompa 4 MG Oral Tablet,SBD,ENG,N,,
1356576,perampanel 6 MG Oral Tablet [FYCOMPA],Fycompa 6 MG Oral Tablet,SBD,ENG,N,,
1356580,perampanel 8 MG Oral Tablet [FYCOMPA],Fycompa 8 MG Oral Tablet,SBD,ENG,N,,
1356584,perampanel 10 MG Oral Tablet [FYCOMPA],Fycompa 10 MG Oral Tablet,SBD,ENG,N,,
1356588,perampanel 12 MG Oral Tablet [FYCOMPA],Fycompa 12 MG Oral Tablet,SBD,ENG,N,,
1790126,perampanel 0.5 MG/ML Oral Suspension [FYCOMPA],Fycompa 0.5 MG per 1 ML Oral Suspension,SBD,ENG,N,,
1356557,perampanel 2 MG Oral Tablet,,SCD,ENG,N,,
1356570,perampanel 4 MG Oral Tablet,,SCD,ENG,N,,
1356574,perampanel 6 MG Oral Tablet,,SCD,ENG,N,,
1356578,perampanel 8 MG Oral Tablet,,SCD,ENG,N,,
1356582,perampanel 10 MG Oral Tablet,,SCD,ENG,N,,
1356586,perampanel 12 MG Oral Tablet,,SCD,ENG,N,,
1790122,perampanel 0.5 MG/ML Oral Suspension,perampanel 0.5 MG per 1 ML Oral Suspension,SCD,ENG,N,,
