rxcui,name,synonym,tty,language,suppress,umlscui,psn
1739754,5 ML brivaracetam 10 MG/ML Injection [Briviact],5 ML Briviact 10 MG/ML Injection,SBD,ENG,N,,
1739766,brivaracetam 10 MG Oral Tablet [Briviact],Briviact 10 MG Oral Tablet,SBD,ENG,N,,
1739770,brivaracetam 100 MG Oral Tablet [Briviact],Briviact 100 MG Oral Tablet,SBD,ENG,N,,
1739774,brivaracetam 25 MG Oral Tablet [Briviact],Briviact 25 MG Oral Tablet,SBD,ENG,N,,
1739778,brivaracetam 50 MG Oral Tablet [Briviact],Briviact 50 MG Oral Tablet,SBD,ENG,N,,
1739782,brivaracetam 75 MG Oral Tablet [Briviact],Briviact 75 MG Oral Tablet,SBD,ENG,N,,
1739788,brivaracetam 10 MG/ML Oral Solution [Briviact],Briviact 10 MG per 1 ML Oral Solution,SBD,ENG,N,,
1739749,5 ML brivaracetam 10 MG/ML Injection,brivaracetam 50 MG per 5 ML Injection,SCD,ENG,N,,
1739761,brivaracetam 10 MG Oral Tablet,,SCD,ENG,N,,
1739768,brivaracetam 100 MG Oral Tablet,,SCD,ENG,N,,
1739772,brivaracetam 25 MG Oral Tablet,,SCD,ENG,N,,
1739776,brivaracetam 50 MG Oral Tablet,,SCD,ENG,N,,
1739780,brivaracetam 75 MG Oral Tablet,,SCD,ENG,N,,
1739785,brivaracetam 10 MG/ML Oral Solution,brivaracetam 10 MG per 1 ML Oral Solution,SCD,ENG,N,,
