rxcui,name,synonym,tty,language,suppress,umlscui,psn
1010603,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Film [Suboxone],Suboxone 2/0.5 Sublingual Film,SBD,ENG,N,,
1010606,buprenorphine 8 MG / naloxone 2 MG Sublingual Film [Suboxone],Suboxone 8/2 Sublingual Film,SBD,ENG,N,,
1307058,buprenorphine 4 MG / naloxone 1 MG Sublingual Film [Suboxone],Suboxone 4/1 Sublingual Film,SBD,ENG,N,,
1307063,buprenorphine 12 MG / naloxone 3 MG Sublingual Film [Suboxone],Suboxone 12/3 Sublingual Film,SBD,ENG,N,,
1431083,buprenorphine 1.4 MG / naloxone 0.36 MG Sublingual Tablet [Zubsolv],Zubsolv 1.4/0.36 Sublingual Tablet,SBD,ENG,N,,
1431104,buprenorphine 5.7 MG / naloxone 1.4 MG Sublingual Tablet [Zubsolv],Zubsolv 5.7/1.4 Sublingual Tablet,SBD,ENG,N,,
1432971,168 HR buprenorphine 0.015 MG/HR Transdermal System [BuTrans],BuTrans 15 MCG/HR Weekly Transdermal Patch,SBD,ENG,N,,
1542396,buprenorphine 2.1 MG / naloxone 0.3 MG Buccal Film [Bunavail],Bunavail (buprenorphine 2.1 MG / naloxone 0.3 MG) Buccal Film,SBD,ENG,N,,
1542999,168 HR buprenorphine 0.0075 MG/HR Transdermal System [BuTrans],BuTrans 7.5 MCG/HR 7 Day Transdermal Patch,SBD,ENG,N,,
1544853,buprenorphine 4.2 MG / naloxone 0.7 MG Buccal Film [Bunavail],Bunavail (buprenorphine 4.2 MG / naloxone 0.7 MG) Buccal Film,SBD,ENG,N,,
1544856,buprenorphine 6.3 MG / naloxone 1 MG Buccal Film [Bunavail],Bunavail (buprenorphine 6.3 MG / naloxone 1 MG) Buccal Film,SBD,ENG,N,,
1594655,buprenorphine 1.8 MG/ML Injectable Solution [Simbadol],Simbadol 1.8 MG/ML Injectable Solution,SBD,ENG,N,,
1597570,buprenorphine 11.4 MG / naloxone 2.9 MG Sublingual Tablet [Zubsolv],Zubsolv (buprenorphine 11.4 MG / naloxone 2.9 MG) Sublingual Tablet,SBD,ENG,N,,
1597575,buprenorphine 8.6 MG / naloxone 2.1 MG Sublingual Tablet [Zubsolv],Zubsolv (buprenorphine 8.6 MG / naloxone 2.1 MG) Sublingual Tablet,SBD,ENG,N,,
1666385,buprenorphine 2.9 MG / naloxone 0.71 MG Sublingual Tablet [Zubsolv],Zubsolv 2.9/0.71 Sublingual Tablet,SBD,ENG,N,,
1716063,buprenorphine 0.15 MG Buccal Film [Belbuca],Belbuca 150 MCG Buccal Film,SBD,ENG,N,,
1716067,buprenorphine 0.3 MG Buccal Film [Belbuca],Belbuca 300 MCG Buccal Film,SBD,ENG,N,,
1716071,buprenorphine 0.45 MG Buccal Film [Belbuca],Belbuca 450 MCG Buccal Film,SBD,ENG,N,,
1716075,buprenorphine 0.6 MG Buccal Film [Belbuca],Belbuca 600 MCG Buccal Film,SBD,ENG,N,,
1716079,buprenorphine 0.075 MG Buccal Film [Belbuca],Belbuca 75 MCG Buccal Film,SBD,ENG,N,,
1716083,buprenorphine 0.75 MG Buccal Film [Belbuca],Belbuca 750 MCG Buccal Film,SBD,ENG,N,,
1716090,buprenorphine 0.9 MG Buccal Film [Belbuca],Belbuca 900 MCG Buccal Film,SBD,ENG,N,,
1864414,buprenorphine 0.7 MG / naloxone 0.18 MG Sublingual Tablet [Zubsolv],Zubsolv 0.7 MG / 0.18 MG Sublingual Tablet,SBD,ENG,N,,
1996189,0.5 ML buprenorphine 200 MG/ML Prefilled Syringe [Sublocade],0.5 ML Sublocade 200 MG/ML Prefilled Syringe,SBD,ENG,N,,
1996193,1.5 ML buprenorphine 200 MG/ML Prefilled Syringe [Sublocade],1.5 ML Sublocade 200 MG/ML Prefilled Syringe,SBD,ENG,N,,
205533,1 ML buprenorphine 0.3 MG/ML Injection [Buprenex],1 ML Buprenex 0.3 MG/ML Injection,SBD,ENG,N,,
2599851,buprenorphine 20 MG/ML Topical Solution [Zorbium],Zorbium 20 MG/ML Topical Solution,SBD,ENG,N,,
2639027,0.16 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],0.16 ML Brixadi 50 MG/ML Prefilled Syringe,SBD,ENG,N,,
2639030,0.32 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],0.32 ML Brixadi 50 MG/ML Prefilled Syringe,SBD,ENG,N,,
2639032,0.48 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],0.48 ML Brixadi 50 MG/ML Prefilled Syringe,SBD,ENG,N,,
2639034,0.64 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],0.64 ML Brixadi 50 MG/ML Prefilled Syringe,SBD,ENG,N,,
2639039,0.18 ML buprenorphine 356 MG/ML Prefilled Syringe [Brixadi],0.18 ML Brixadi 356 MG/ML Prefilled Syringe,SBD,ENG,N,,
2639042,0.27 ML buprenorphine 356 MG/ML Prefilled Syringe [Brixadi],0.27 ML Brixadi 356 MG/ML Prefilled Syringe,SBD,ENG,N,,
2639044,0.36 ML buprenorphine 356 MG/ML Prefilled Syringe [Brixadi],0.36 ML Brixadi 356 MG/ML Prefilled Syringe,SBD,ENG,N,,
904874,168 HR buprenorphine 0.01 MG/HR Transdermal System [BuTrans],BuTrans 10 MCG/HR Weekly Transdermal Patch,SBD,ENG,N,,
