rxcui,name,synonym,tty,language,suppress,umlscui,psn
1302741,butorphanol 10 MG/ML Injectable Solution [Dolorex Solution],Dolorex Solution 10 MG/ML Injectable Solution,SBD,ENG,N,,
1310927,butorphanol 10 MG/ML Injectable Solution [Butorphic],Butorphic 10 MG/ML Injectable Solution,SBD,ENG,N,,
1489991,butorphanol 10 MG/ML Injectable Solution [Torbugesic],Torbugesic (as butorphanol tartrate) 10 MG/ML Injectable Solution,SBD,ENG,N,,
2632851,butorphanol 10 MG/ML Injectable Solution [Torphadine],Torphadine 10 MG/ML Injectable Solution,SBD,ENG,N,,
2738991,butorphanol 10 MG/ML Injectable Solution [Vetorphic],Vetorphic (as butorphanol tartrate) 10 MG/ML Injectable Solution,SBD,ENG,N,,
1302739,butorphanol 10 MG/ML Injectable Solution,butorphanol (as butorphanol tartrate) 10 MG/ML Injectable Solution,SCD,ENG,N,,
1728351,1 ML butorphanol tartrate 2 MG/ML Injection,butorphanol tartrate 2 MG per 1 ML Injection,SCD,ENG,N,,
1728355,2 ML butorphanol tartrate 2 MG/ML Injection,butorphanol tartrate 4 MG per 2 ML Injection,SCD,ENG,N,,
886622,butorphanol tartrate 2 MG/ML Injectable Solution,,SCD,ENG,N,,
886627,1 ML butorphanol tartrate 1 MG/ML Injection,butorphanol tartrate 1 MG per 1 ML Injection,SCD,ENG,N,,
886634,butorphanol tartrate 1 MG/ACTUAT Metered Dose Nasal Spray,,SCD,ENG,N,,
