rxcui,name,synonym,tty,language,suppress,umlscui,psn
1190201,acetaminophen 320.5 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule [Trezix],APAP 320.5 MG / Caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule [Trezix],SBD,ENG,N,,
1234871,acetaminophen 356.4 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,APAP 356.4 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,SCD,ENG,N,,
1234872,aspirin 356.4 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,ASA 356.4 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,SCD,ENG,N,,
1234978,acetaminophen 712.8 MG / caffeine 60 MG / dihydrocodeine bitartrate 32 MG Oral Tablet,APAP 712.8 MG / caffeine 60 MG / dihydrocodeine bitartrate 32 MG Oral Tablet,SCD,ENG,N,,
1234999,acetaminophen 500 MG / dihydrocodeine bitartrate 10 MG Oral Tablet,APAP 500 MG / dihydrocodeine bitartrate 10 MG Oral Tablet,SCD,ENG,N,,
1235009,acetaminophen 500 MG / dihydrocodeine bitartrate 20 MG Oral Tablet,APAP 500 MG / dihydrocodeine bitartrate 20 MG Oral Tablet,SCD,ENG,N,,
1235011,acetaminophen 500 MG / dihydrocodeine bitartrate 30 MG Oral Tablet,APAP 500 MG / dihydrocodeine bitartrate 30 MG Oral Tablet,SCD,ENG,N,,
1236179,dihydrocodeine bitartrate 120 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1236182,dihydrocodeine bitartrate 30 MG Oral Tablet,,SCD,ENG,N,,
1236184,dihydrocodeine bitartrate 40 MG Oral Tablet,,SCD,ENG,N,,
1236188,dihydrocodeine bitartrate 60 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1236190,dihydrocodeine bitartrate 90 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1236214,dihydrocodeine bitartrate 10 MG Oral Tablet,,SCD,ENG,N,,
1236218,dihydrocodeine bitartrate 2.42 MG/ML Oral Solution,dihydrocodeine bitartrate 12.1 MG per 5 ML Oral Solution,SCD,ENG,N,,
1596108,acetaminophen 320.5 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,APAP 320.5 MG / Caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Capsule,SCD,ENG,N,,
1812164,acetaminophen 325 MG / caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Tablet,APAP 325 MG / Caffeine 30 MG / dihydrocodeine bitartrate 16 MG Oral Tablet,SCD,ENG,N,,
