rxcui,name,synonym,tty,language,suppress,umlscui,psn
889616,chlordiazepoxide hydrochloride 5 MG / clidinium bromide 2.5 MG Oral Capsule [Librax],Librax (chlordiazepoxide hydrochloride 5 MG / clidinium bromide 2.5 MG) Oral Capsule,SBD,ENG,N,,
249035,chlordiazepoxide 5 MG / clidinium bromide 2.5 MG Oral Tablet,,SCD,ENG,N,,
856769,amitriptyline hydrochloride 12.5 MG / chlordiazepoxide 5 MG Oral Tablet,,SCD,ENG,N,,
856792,amitriptyline hydrochloride 25 MG / chlordiazepoxide 10 MG Oral Tablet,,SCD,ENG,N,,
856863,amitriptyline hydrochloride 12.5 MG / chlordiazepoxide 10 MG Oral Tablet,,SCD,ENG,N,,
889614,chlordiazepoxide hydrochloride 5 MG / clidinium bromide 2.5 MG Oral Capsule,,SCD,ENG,N,,
905369,chlordiazepoxide hydrochloride 10 MG Oral Capsule,,SCD,ENG,N,,
905495,chlordiazepoxide hydrochloride 25 MG Oral Capsule,,SCD,ENG,N,,
905505,chlordiazepoxide hydrochloride 25 MG Oral Tablet,,SCD,ENG,N,,
905516,chlordiazepoxide hydrochloride 5 MG Oral Capsule,,SCD,ENG,N,,
905521,chlordiazepoxide hydrochloride 5 MG Oral Tablet,,SCD,ENG,N,,
905532,chlordiazepoxide hydrochloride 10 MG Oral Tablet,,SCD,ENG,N,,
