rxcui,name,synonym,tty,language,suppress,umlscui,psn
206157,clonazepam 0.5 MG Oral Tablet [Klonopin],Klonopin 0.5 MG Oral Tablet,SBD,ENG,N,,
206159,clonazepam 1 MG Oral Tablet [Klonopin],Klonopin 1 MG Oral Tablet,SBD,ENG,N,,
206160,clonazepam 2 MG Oral Tablet [Klonopin],Klonopin 2 MG Oral Tablet,SBD,ENG,N,,
197527,clonazepam 0.5 MG Oral Tablet,,SCD,ENG,N,,
197528,clonazepam 1 MG Oral Tablet,,SCD,ENG,N,,
197529,clonazepam 2 MG Oral Tablet,,SCD,ENG,N,,
204892,clonazepam 0.25 MG Oral Tablet,,SCD,ENG,N,,
349194,clonazepam 0.125 MG Disintegrating Oral Tablet,,SCD,ENG,N,,
349195,clonazepam 0.25 MG Disintegrating Oral Tablet,,SCD,ENG,N,,
349196,clonazepam 1 MG Disintegrating Oral Tablet,,SCD,ENG,N,,
349197,clonazepam 2 MG Disintegrating Oral Tablet,,SCD,ENG,N,,
349198,clonazepam 0.5 MG Disintegrating Oral Tablet,,SCD,ENG,N,,
387007,clonazepam 0.1 MG/ML Oral Solution,,SCD,ENG,N,,
387008,clonazepam 0.4 MG/ML Oral Solution,,SCD,ENG,N,,
