rxcui,name,synonym,tty,language,suppress,umlscui,psn
1088953,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 80 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 3 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1088965,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 3.33 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 40 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 3.33 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1088970,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 3.75 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 35 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 3.75 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1088977,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 4 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 60 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 4 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1089023,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 4.29 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 30 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 4.29 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1089027,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 5 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 25 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 5 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1089030,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Suspension [Zodryl DEC],Zodryl DEC 50 (codeine phosphate 1 MG / guaifenesin 20 MG / pseudoephedrine hydrochloride 6 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
1089057,codeine phosphate 10 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 20 MG Oral Tablet [Ambifed-G CD],Ambifed-G CD (codeine phosphate 10 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 20 MG) Oral Tablet,SBD,ENG,N,,
1089060,codeine phosphate 10 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet [Ambifed CD],Ambifed CD (codeine phosphate 10 MG / guaifenesin 400 MG / pseudoephedrine hydrochloride 30 MG) Oral Tablet,SBD,ENG,N,,
1190587,codeine phosphate 1.2 MG/ML / dexbrompheniramine maleate 0.133 MG/ML / pseudoephedrine hydrochloride 4 MG/ML Oral Solution [M-End Max D],M-End Max D (codeine phosphate 6 MG / dexbrompheniramine maleate 0.667 MG / pseudoephedrine hydrochloride 20 MG) per 5 ML Oral Solution,SBD,ENG,N,,
1244921,brompheniramine maleate 0.266 MG/ML / codeine phosphate 1.27 MG/ML / phenylephrine hydrochloride 0.666 MG/ML Oral Solution [M-End PE],M-End PE (brompehiramine maleate 1.33 MG / codeine phosphate 6.33 MG / phenylephrine hydrochloride 3.33 MG) per 5 ML Oral Solution,SBD,ENG,N,,
1356799,brompheniramine maleate 4 MG / codeine phosphate 10 MG / phenylephrine hydrochloride 10 MG Oral Tablet [Brovex PBC],Brovex PBC (brompheniramine maleate 4 MG / codeine phosphate 10 MG / phenylephrine hydrochloride 10 MG) Oral Tablet,SBD,ENG,N,,
1356802,brompheniramine maleate 4 MG / codeine phosphate 10 MG Oral Tablet [BroveX CB],BroveX CB (brompheniramine maleate 4 MG / codeine phosphate 10 MG) Oral Tablet,SBD,ENG,N,,
1356806,brompheniramine maleate 4 MG / codeine phosphate 20 MG / phenylephrine hydrochloride 10 MG Oral Tablet [Brovex PBC],Brovex PBCX (brompheniramine maleate 4 MG / codeine phosphate 20 MG / phenylephrine hydrochloride 10 MG) Oral Tablet,SBD,ENG,N,,
1356809,brompheniramine maleate 4 MG / codeine phosphate 20 MG Oral Tablet [BroveX CB],BroveX CBX (brompheniramine maleate 4 MG / codeine phosphate 20 MG) Oral Tablet,SBD,ENG,N,,
1433802,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule [Fioricet with Codeine],APAP 300 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Capsule [Fioricet with Codeine],SBD,ENG,N,,
1547607,codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Lortuss EX],Lortuss EX (codeine phosphate 10 MG / guaifenesin 100 MG / pseudoephedrine hydrochloride 30 MG) per 5 ML Oral Solution,SBD,ENG,N,,
1595214,codeine phosphate 1.6 MG/ML / guaifenesin 40 MG/ML Oral Solution [Ninjacof XG],Ninjacof XG (codeine phosphate 8 MG / guaifenesin 200 MG) per 5 ML Oral Solution,SBD,ENG,N,,
1652093,12 HR chlorpheniramine polistirex 0.8 MG/ML / codeine polistirex 4 MG/ML Extended Release Suspension [Tuzistra],Tuzistra (12 HR chlorpheniramine polistirex 0.8 MG/ML / codeine polistirex 4 MG/ML) Extended Release Suspension,SBD,ENG,N,,
2099286,12 HR chlorpheniramine maleate 8 MG / codeine phosphate 54.3 MG Extended Release Oral Tablet [Tuxarin],Tuxarin 54.3 MG / 8 MG 12 HR Extended Release Oral Tablet,SBD,ENG,N,,
993837,acetaminophen 300 MG / codeine phosphate 30 MG Oral Tablet [Tylenol with Codeine],Tylenol #3 Oral Tablet,SBD,ENG,N,,
994239,aspirin 325 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule [Ascomp],ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Capsule [Ascomp],SBD,ENG,N,,
994404,brompheniramine maleate 0.4 MG/ML / codeine phosphate 1.5 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Mar-cof BP],Mar-cof BP (codeine phosphate 7.5 MG / brompheniramine maleate 2 MG / pseudoephedrine hydrochloride 30 MG) per 5 ML Oral Solution,SBD,ENG,N,,
995043,chlorpheniramine maleate 0.2 MG/ML / codeine phosphate 1 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Suspension [Zodryl DAC],Zodryl DAC 80 (chlorpheniramine maleate 0.2 MG / codeine phosphate 1 MG / pseudoephedrine HCl 3 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
995064,chlorpheniramine maleate 0.2 MG/ML / codeine phosphate 1 MG/ML Oral Suspension [Zodryl AC],Zodryl AC 80 (chlorpheniramine maleate 2 MG / codeine phosphate 10 MG) per 10 ML Oral Suspension,SBD,ENG,N,,
995067,chlorpheniramine maleate 0.222 MG/ML / codeine phosphate 1 MG/ML / pseudoephedrine hydrochloride 3.33 MG/ML Oral Suspension [Zodryl DAC],Zodryl DAC 40 (chlorpheniramine maleate 0.222 MG / codeine phosphate 1 MG / pseudoephedrine HCl 33.3 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
995070,chlorpheniramine maleate 0.222 MG/ML / codeine phosphate 1 MG/ML Oral Suspension [Zodryl AC],Zodryl AC 40 (chlorpheniramine maleate 0.222 MG / codeine phosphate 1 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
995073,chlorpheniramine maleate 0.25 MG/ML / codeine phosphate 1 MG/ML Oral Suspension [Zodryl AC],Zodryl AC 35 (chlorpheniramine maleate 0.25 MG / codeine phosphate 1 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
995077,chlorpheniramine maleate 0.25 MG/ML / codeine phosphate 1 MG/ML / pseudoephedrine hydrochloride 0.375 MG/ML Oral Suspension [Zodryl DAC],Zodryl DAC 35 (chlorpheniramine maleate 0.25 MG / codeine phosphate 1 MG / pseudoephedrine HCl 0.375 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
995081,chlorpheniramine maleate 0.266 MG/ML / codeine phosphate 1 MG/ML / pseudoephedrine hydrochloride 4 MG/ML Oral Suspension [Zodryl DAC],Zodryl DAC 60 (chlorpheniramine maleate 0.266 MG / codeine phosphate 1 MG / pseudoephedrine HCl 4 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
995084,chlorpheniramine maleate 0.267 MG/ML / codeine phosphate 1 MG/ML Oral Suspension [Zodryl AC],Zodryl AC 60 (chlorpheniramine maleate 0.267 MG / codeine phosphate 1 MG) per 1 ML Oral Suspension,SBD,ENG,N,,
