rxcui,name,synonym,tty,language,suppress,umlscui,psn
2272622,{1 (0.1 ML) (diazepam 100 MG/ML Nasal Spray [Valtoco]) } Pack [Valtoco 10 MG Dose Kit],VALTOCO 10 MG Dose Kit,BPCK,ENG,N,,
2272624,{2 (0.1 ML) (diazepam 100 MG/ML Nasal Spray [Valtoco]) } Pack [Valtoco 20 MG Dose Kit],VALTOCO 20 MG Dose Kit,BPCK,ENG,N,,
2272630,{1 (0.1 ML) (diazepam 50 MG/ML Nasal Spray [Valtoco]) } Pack [Valtoco 5 MG Dose Kit],VALTOCO 5 MG Dose Kit,BPCK,ENG,N,,
2272636,{2 (0.1 ML) (diazepam 75 MG/ML Nasal Spray [Valtoco]) } Pack [Valtoco 15 MG Dose Kit],VALTOCO 15 MG Dose Kit,BPCK,ENG,N,,
2272621,{1 (0.1 ML) (diazepam 100 MG/ML Nasal Spray) } Pack,diazepam 10 MG per 0.1 mL Nasal Spray Dose Kit,GPCK,ENG,N,,
2272623,{2 (0.1 ML) (diazepam 100 MG/ML Nasal Spray) } Pack,diazepam 20 MG (2 X 10 MG per 0.1 mL) Nasal Spray Dose Kit,GPCK,ENG,N,,
2272627,{1 (0.1 ML) (diazepam 50 MG/ML Nasal Spray) } Pack,diazepam 5 MG per 0.1 mL Nasal Spray Dose Kit,GPCK,ENG,N,,
2272633,{2 (0.1 ML) (diazepam 75 MG/ML Nasal Spray) } Pack,diazepam 15 MG (2 X 7.5 MG per 0.1 mL) Nasal Spray Dose Kit,GPCK,ENG,N,,
104699,diazepam 2 MG Oral Tablet [Valium],Valium 2 MG Oral Tablet,SBD,ENG,N,,
104700,diazepam 5 MG Oral Tablet [Valium],Valium 5 MG Oral Tablet,SBD,ENG,N,,
104701,diazepam 10 MG Oral Tablet [Valium],Valium 10 MG Oral Tablet,SBD,ENG,N,,
2272619,diazepam 100 MG/ML Nasal Spray [Valtoco],Valtoco 100 MG/ML Nasal Spray,SBD,ENG,N,,
2272629,diazepam 50 MG/ML Nasal Spray [Valtoco],Valtoco 50 MG/ML Nasal Spray,SBD,ENG,N,,
2272635,diazepam 75 MG/ML Nasal Spray [Valtoco],Valtoco 75 MG/ML Nasal Spray,SBD,ENG,N,,
2682570,diazepam 5 MG Buccal Film [Libervant],Libervant 5 MG Buccal Film,SBD,ENG,N,,
2682573,diazepam 10 MG Buccal Film [Libervant],Libervant 10 MG Buccal Film,SBD,ENG,N,,
2682577,diazepam 12.5 MG Buccal Film [Libervant],Libervant 12.5 MG Buccal Film,SBD,ENG,N,,
2682580,diazepam 15 MG Buccal Film [Libervant],Libervant 15 MG Buccal Film,SBD,ENG,N,,
2682583,diazepam 7.5 MG Buccal Film [Libervant],Libervant 7.5 MG Buccal Film,SBD,ENG,N,,
801958,0.5 ML diazepam 5 MG/ML Rectal Gel [Diastat],0.5 ML Diastat 5 MG/ML Rectal Gel,SBD,ENG,N,,
801962,2 ML diazepam 5 MG/ML Rectal Gel [Diastat],2 ML Diastat 5 MG/ML Rectal Gel,SBD,ENG,N,,
801965,4 ML diazepam 5 MG/ML Rectal Gel [Diastat],4 ML Diastat 5 MG/ML Rectal Gel,SBD,ENG,N,,
104706,diazepam 10 MG Rectal Suppository,,SCD,ENG,N,,
105032,diazepam 5 MG/ML Injectable Suspension,,SCD,ENG,N,,
108379,diazepam 0.5 MG/ML Oral Suspension,,SCD,ENG,N,,
108380,diazepam 2 MG/ML Oral Suspension,,SCD,ENG,N,,
141926,diazepam 0.4 MG/ML Oral Solution,,SCD,ENG,N,,
1807452,2 ML diazepam 5 MG/ML Auto-Injector,diazepam 10 MG per 2 ML Auto-injector,SCD,ENG,N,,
1807459,2 ML diazepam 5 MG/ML Cartridge,diazepam 10 MG per 2 ML Cartridge,SCD,ENG,N,,
197589,diazepam 10 MG Oral Tablet,,SCD,ENG,N,,
197590,diazepam 2 MG Oral Tablet,,SCD,ENG,N,,
197591,diazepam 5 MG Oral Tablet,,SCD,ENG,N,,
2120550,2 ML diazepam 5 MG/ML Prefilled Syringe,diazepam 10 MG per 2 ML Prefilled Syringe,SCD,ENG,N,,
2272613,diazepam 100 MG/ML Nasal Spray,diazepam 10 MG per 0.1 mL Nasal Spray,SCD,ENG,N,,
2272626,diazepam 50 MG/ML Nasal Spray,diazepam 5 MG in 0.1 mL Nasal Spray,SCD,ENG,N,,
2272632,diazepam 75 MG/ML Nasal Spray,diazepam 7.5 MG per 0.1 mL Nasal Spray,SCD,ENG,N,,
2682564,diazepam 5 MG Buccal Film,,SCD,ENG,N,,
2682571,diazepam 10 MG Buccal Film,,SCD,ENG,N,,
2682575,diazepam 12.5 MG Buccal Film,,SCD,ENG,N,,
2682578,diazepam 15 MG Buccal Film,,SCD,ENG,N,,
2682581,diazepam 7.5 MG Buccal Film,,SCD,ENG,N,,
309843,diazepam 1 MG/ML Oral Solution,diazepam 5 MG per 5 ML Oral Solution,SCD,ENG,N,,
309844,diazepam 5 MG/ML Oral Solution,diazepam 5 MG per 1 ML Concentrate for Oral Solution,SCD,ENG,N,,
309845,diazepam 5 MG/ML Injectable Solution,,SCD,ENG,N,,
422657,diazepam 4 MG/ML Enema,diazepam 10 MG per 2.5 ML Enema,SCD,ENG,N,,
422658,diazepam 2 MG/ML Enema,diazepam 5 MG per 2.5 ML Enema,SCD,ENG,N,,
801957,0.5 ML diazepam 5 MG/ML Rectal Gel,diazepam 2.5 MG per 0.5 ML Rectal Gel,SCD,ENG,N,,
801961,2 ML diazepam 5 MG/ML Rectal Gel,diazepam 10 MG per 2 ML Rectal Gel,SCD,ENG,N,,
801966,4 ML diazepam 5 MG/ML Rectal Gel,diazepam 20 mg per 4 ML Rectal Gel,SCD,ENG,N,,
