rxcui,name,synonym,tty,language,suppress,umlscui,psn
1872265,1 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe [Dilaudid],1 ML Dilaudid 1 MG/ML Prefilled Syringe,SBD,ENG,N,,
1872269,1 ML hydromorphone hydrochloride 2 MG/ML Prefilled Syringe [Dilaudid],1 ML Dilaudid 2 MG/ML Prefilled Syringe,SBD,ENG,N,,
1872272,1 ML hydromorphone hydrochloride 4 MG/ML Prefilled Syringe [Dilaudid],1 ML Dilaudid 4 MG/ML Prefilled Syringe,SBD,ENG,N,,
1872752,0.5 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe [Dilaudid],0.5 ML Dilaudid 1 MG/ML Prefilled Syringe,SBD,ENG,N,,
2277370,1 ML hydromorphone hydrochloride 0.2 MG/ML Prefilled Syringe [Dilaudid],1 ML Dilaudid 0.2 MG/ML Prefilled Syringe,SBD,ENG,N,,
897658,hydromorphone hydrochloride 1 MG/ML Oral Solution [Dilaudid],Dilaudid 1 MG/ML Oral Solution,SBD,ENG,N,,
897698,hydromorphone hydrochloride 2 MG Oral Tablet [Dilaudid],Dilaudid 2 MG Oral Tablet,SBD,ENG,N,,
897704,hydromorphone hydrochloride 4 MG Oral Tablet [Dilaudid],Dilaudid 4 MG Oral Tablet,SBD,ENG,N,,
897712,hydromorphone hydrochloride 8 MG Oral Tablet [Dilaudid],Dilaudid 8 MG Oral Tablet,SBD,ENG,N,,
1306898,24 HR hydromorphone hydrochloride 32 MG Extended Release Oral Tablet,hydromorphone hydrochloride 32 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
1433251,0.5 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe,hydromorphone HCl 0.5 MG per 0.5 ML Prefilled Syringe,SCD,ENG,N,,
1724276,1 ML hydromorphone hydrochloride 2 MG/ML Injection,hydromorphone HCl 2 MG per 1 ML Injection,SCD,ENG,N,,
1724338,1 ML hydromorphone hydrochloride 10 MG/ML Injection,hydromorphone HCl 10 MG per 1 ML Injection,SCD,ENG,N,,
1724340,5 ML hydromorphone hydrochloride 10 MG/ML Injection,hydromorphone HCl 50 MG per 5 ML Injection,SCD,ENG,N,,
1724341,50 ML hydromorphone hydrochloride 10 MG/ML Injection,hydromorphone HCl 500 MG per 50 ML Injection,SCD,ENG,N,,
1724383,1 ML hydromorphone hydrochloride 1 MG/ML Cartridge,hydromorphone HCl 1 MG per 1 ML Cartridge,SCD,ENG,N,,
1724644,1 ML hydromorphone hydrochloride 2 MG/ML Cartridge,hydromorphone HCl 2 MG per 1 ML Cartridge,SCD,ENG,N,,
1872271,1 ML hydromorphone hydrochloride 4 MG/ML Prefilled Syringe,hydromorphone HCl 4 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
2277368,1 ML hydromorphone hydrochloride 0.2 MG/ML Prefilled Syringe,hydromorphone hydrochloride 0.2 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
2675350,0.5 ML hydromorphone hydrochloride 0.5 MG/ML Prefilled Syringe,hydromorphone hydrochloride 0.25 MG per 0.5 ML Prefilled Syringe,SCD,ENG,N,,
897653,1 ML hydromorphone hydrochloride 1 MG/ML Injection,hydromorphone HCl 1 MG per 1 ML Injection,SCD,ENG,N,,
897657,hydromorphone hydrochloride 1 MG/ML Oral Solution,hydromorphone HCl 1 MG per 1 ML Oral Solution,SCD,ENG,N,,
897696,hydromorphone hydrochloride 2 MG Oral Tablet,,SCD,ENG,N,,
897702,hydromorphone hydrochloride 4 MG Oral Tablet,,SCD,ENG,N,,
897710,hydromorphone hydrochloride 8 MG Oral Tablet,,SCD,ENG,N,,
897745,hydromorphone hydrochloride 2 MG/ML Injectable Solution,hydromorphone HCl 2 MG/ML Injectable Solution,SCD,ENG,N,,
897749,hydromorphone hydrochloride 3 MG Rectal Suppository,,SCD,ENG,N,,
897753,1 ML hydromorphone hydrochloride 4 MG/ML Injection,hydromorphone HCl 4 MG per 1 ML Injection,SCD,ENG,N,,
897756,1 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe,hydromorphone HCl 1 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
897757,1 ML hydromorphone hydrochloride 2 MG/ML Prefilled Syringe,hydromorphone HCl 2 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
897758,1 ML hydromorphone hydrochloride 4 MG/ML Cartridge,hydromorphone HCl 4 MG per 1 ML Cartridge,SCD,ENG,N,,
897771,hydromorphone hydrochloride 1 MG Oral Tablet,,SCD,ENG,N,,
898004,hydromorphone hydrochloride 1.3 MG Oral Capsule,,SCD,ENG,N,,
898138,hydromorphone hydrochloride 2.6 MG Oral Capsule,,SCD,ENG,N,,
898139,hydromorphone hydrochloride 3 MG Oral Tablet,,SCD,ENG,N,,
898611,12 HR hydromorphone hydrochloride 2 MG Extended Release Oral Capsule,,SCD,ENG,N,,
898614,12 HR hydromorphone hydrochloride 4 MG Extended Release Oral Capsule,,SCD,ENG,N,,
898618,12 HR hydromorphone hydrochloride 8 MG Extended Release Oral Capsule,,SCD,ENG,N,,
902729,24 HR hydromorphone hydrochloride 12 MG Extended Release Oral Tablet,hydromorphone hydrochloride 12 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
902736,24 HR hydromorphone hydrochloride 16 MG Extended Release Oral Tablet,hydromorphone hydrochloride 16 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
902741,24 HR hydromorphone hydrochloride 8 MG Extended Release Oral Tablet,hydromorphone hydrochloride 8 MG 24 HR Extended Release Oral Tablet,SCD,ENG,N,,
