rxcui,name,synonym,tty,language,suppress,umlscui,psn
1053651,fentanyl 0.1 MG Sublingual Tablet [Abstral],Abstral 0.1 MG Sublingual Tablet,SBD,ENG,N,,
1053654,fentanyl 0.2 MG Sublingual Tablet [Abstral],Abstral 0.2 MG Sublingual Tablet,SBD,ENG,N,,
1053657,fentanyl 0.3 MG Sublingual Tablet [Abstral],Abstral 0.3 MG Sublingual Tablet,SBD,ENG,N,,
1053660,fentanyl 0.4 MG Sublingual Tablet [Abstral],Abstral 0.4 MG Sublingual Tablet,SBD,ENG,N,,
1053663,fentanyl 0.6 MG Sublingual Tablet [Abstral],Abstral 0.6 MG Sublingual Tablet,SBD,ENG,N,,
1053666,fentanyl 0.8 MG Sublingual Tablet [Abstral],Abstral 0.8 MG Sublingual Tablet,SBD,ENG,N,,
1237055,fentanyl 0.1 MG/ACTUAT Mucosal Spray [Subsys],Subsys 0.1 MG/ACTUAT Mucosal Spray,SBD,ENG,N,,
1237059,fentanyl 0.2 MG/ACTUAT Mucosal Spray [Subsys],Subsys 0.2 MG/ACTUAT Mucosal Spray,SBD,ENG,N,,
1237062,fentanyl 0.4 MG/ACTUAT Mucosal Spray [Subsys],Subsys 0.4 MG/ACTUAT Mucosal Spray,SBD,ENG,N,,
1237070,fentanyl 0.8 MG/ACTUAT Mucosal Spray [Subsys],Subsys 0.8 MG/ACTUAT Mucosal Spray,SBD,ENG,N,,
1666837,80 ACTUAT fentanyl 0.04 MG/ACTUAT Transdermal System [Ionsys],80 ACTUAT Ionsys 0.04 MG/ACTUAT Transdermal System,SBD,ENG,N,,
261106,fentanyl 0.2 MG Oral Lozenge [Actiq],Actiq 0.2 MG Oral Lozenge,SBD,ENG,N,,
261107,fentanyl 0.6 MG Oral Lozenge [Actiq],Actiq 0.6 MG Oral Lozenge,SBD,ENG,N,,
261108,fentanyl 0.8 MG Oral Lozenge [Actiq],Actiq 0.8 MG Oral Lozenge,SBD,ENG,N,,
261109,fentanyl 1.2 MG Oral Lozenge [Actiq],Actiq 1.2 MG Oral Lozenge,SBD,ENG,N,,
261110,fentanyl 1.6 MG Oral Lozenge [Actiq],Actiq 1.6 MG Oral Lozenge,SBD,ENG,N,,
262219,fentanyl 0.4 MG Oral Lozenge [Actiq],Actiq 0.4 MG Oral Lozenge,SBD,ENG,N,,
668622,fentanyl 0.1 MG Buccal Tablet [Fentora],Fentora 0.1 MG Buccal Tablet,SBD,ENG,N,,
668624,fentanyl 0.2 MG Buccal Tablet [Fentora],Fentora 0.2 MG Buccal Tablet,SBD,ENG,N,,
668626,fentanyl 0.4 MG Buccal Tablet [Fentora],Fentora 0.4 MG Buccal Tablet,SBD,ENG,N,,
668628,fentanyl 0.6 MG Buccal Tablet [Fentora],Fentora 0.6 MG Buccal Tablet,SBD,ENG,N,,
668630,fentanyl 0.8 MG Buccal Tablet [Fentora],Fentora 0.8 MG Buccal Tablet,SBD,ENG,N,,
1053647,fentanyl 0.1 MG Sublingual Tablet,fentanyl (as fentanyl citrate) 100 MCG Sublingual Tablet,SCD,ENG,N,,
1053652,fentanyl 0.2 MG Sublingual Tablet,fentanyl 200 MCG Sublingual Tablet,SCD,ENG,N,,
1053655,fentanyl 0.3 MG Sublingual Tablet,fentanyl 300 MCG Sublingual Tablet,SCD,ENG,N,,
1053658,fentanyl 0.4 MG Sublingual Tablet,fentanyl 400 MCG Sublingual Tablet,SCD,ENG,N,,
1053661,fentanyl 0.6 MG Sublingual Tablet,fentanyl 600 MCG Sublingual Tablet,SCD,ENG,N,,
1053664,fentanyl 0.8 MG Sublingual Tablet,fentanyl 800 MCG Sublingual Tablet,SCD,ENG,N,,
1237050,fentanyl 0.1 MG/ACTUAT Mucosal Spray,fentanyl 100 MCG/ACTUAT Mucosal Spray,SCD,ENG,N,,
1237057,fentanyl 0.2 MG/ACTUAT Mucosal Spray,fentanyl 200 MCG/ACTUAT Mucosal Spray,SCD,ENG,N,,
1237060,fentanyl 0.4 MG/ACTUAT Mucosal Spray,fentanyl 400 MCG/ACTUAT Mucosal Spray,SCD,ENG,N,,
1237068,fentanyl 0.8 MG/ACTUAT Mucosal Spray,fentanyl 800 MCG/ACTUAT Mucosal Spray,SCD,ENG,N,,
1603495,72 HR fentanyl 0.0375 MG/HR Transdermal System,fentaNYL 37.5 MCG/HR 72HR Transdermal System,SCD,ENG,N,,
1603498,72 HR fentanyl 0.0625 MG/HR Transdermal System,fentanyl 62.5 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
1603501,72 HR fentanyl 0.0875 MG/HR Transdermal System,fentanyl 87.5 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
1666831,80 ACTUAT fentanyl 0.04 MG/ACTUAT Transdermal System,"fentanyl 0.04 MG/ACTUAT Transdermal System, 80 ACTUAT",SCD,ENG,N,,
1735003,2 ML fentanyl 0.05 MG/ML Injection,fentanyl citrate 100 MCG per 2 ML Injection,SCD,ENG,N,,
1735006,10 ML fentanyl 0.05 MG/ML Injection,fentanyl citrate 500 MCG per 10 ML Injection,SCD,ENG,N,,
1735007,5 ML fentanyl 0.05 MG/ML Injection,fentanyl citrate 250 MCG per 5 ML Injection,SCD,ENG,N,,
1735008,20 ML fentanyl 0.05 MG/ML Injection,fentanyl citrate 1000 MCG per 20 ML Injection,SCD,ENG,N,,
1735013,50 ML fentanyl 0.05 MG/ML Injection,fentanyl citrate 2500 MCG per 50 ML Injection,SCD,ENG,N,,
197696,72 HR fentanyl 0.075 MG/HR Transdermal System,fentanyl 75 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
2168270,1 ML fentanyl 0.05 MG/ML Injection,fentanyl (as fentanyl citrate) 50 MCG/ML per 1 ML Injection,SCD,ENG,N,,
245134,72 HR fentanyl 0.025 MG/HR Transdermal System,fentanyl 25 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
245135,72 HR fentanyl 0.05 MG/HR Transdermal System,fentanyl 50 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
245136,72 HR fentanyl 0.1 MG/HR Transdermal System,fentanyl 100 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
2474267,2 ML fentanyl 0.05 MG/ML Prefilled Syringe,fentanyl 100 MCG per 2 ML Prefilled Syringe,SCD,ENG,N,,
2474269,1 ML fentanyl 0.05 MG/ML Prefilled Syringe,fentanyl 0.05 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
2629337,0.5 ML fentanyl 0.05 MG/ML Prefilled Syringe,fentanyl citrate 25 MCG per 0.5 ML Prefilled Syringe,SCD,ENG,N,,
310293,fentanyl 1.2 MG Oral Lozenge,fentanyl (as fentanyl citrate) 1200 MCG Oral Lozenge,SCD,ENG,N,,
310294,fentanyl 1.6 MG Oral Lozenge,fentanyl (as fentanyl citrate) 1600 MCG Oral Lozenge,SCD,ENG,N,,
310295,fentanyl 0.2 MG Oral Lozenge,fentanyl (as fentanyl citrate) 200 MCG Oral Lozenge,SCD,ENG,N,,
310296,fentanyl 0.3 MG Oral Lozenge,fentanyl (as fentanyl citrate) 300 MCG Oral Lozenge,SCD,ENG,N,,
310297,fentanyl 0.4 MG Oral Lozenge,fentanyl (as fentanyl citrate) 400 MCG Oral Lozenge,SCD,ENG,N,,
313992,fentanyl 0.6 MG Oral Lozenge,fentanyl (as fentanyl citrate) 600 MCG Oral Lozenge,SCD,ENG,N,,
313993,fentanyl 0.8 MG Oral Lozenge,fentanyl (as fentanyl citrate) 800 MCG Oral Lozenge,SCD,ENG,N,,
577057,72 HR fentanyl 0.012 MG/HR Transdermal System,fentanyl 12 MCG/HR 3 Day Transdermal Patch,SCD,ENG,N,,
668363,fentanyl 0.1 MG Buccal Tablet,fentanyl (as fentanyl citrate) 100 MCG Buccal Tablet,SCD,ENG,N,,
668364,fentanyl 0.2 MG Buccal Tablet,fentanyl (as fentanyl citrate) 200 MCG Buccal Tablet,SCD,ENG,N,,
668365,fentanyl 0.4 MG Buccal Tablet,fentanyl (as fentanyl citrate) 400 MCG Buccal Tablet,SCD,ENG,N,,
668366,fentanyl 0.6 MG Buccal Tablet,fentanyl (as fentanyl citrate) 600 MCG Buccal Tablet,SCD,ENG,N,,
668367,fentanyl 0.8 MG Buccal Tablet,fentanyl (as fentanyl citrate) 800 MCG Buccal Tablet,SCD,ENG,N,,
706898,fentanyl 0.3 MG Buccal Tablet,fentanyl 300 MCG Buccal Tablet,SCD,ENG,N,,
727759,2 ML fentanyl 0.05 MG/ML Cartridge,fentanyl (as fentanyl citrate) 100 MCG per 2 ML Cartridge,SCD,ENG,N,,
858087,fentanyl 1.2 MG Buccal Film,fentanyl 1200 MCG Buccal Film,SCD,ENG,N,,
858092,fentanyl 0.2 MG Buccal Film,fentanyl (as fentanyl citrate) 200 MCG Buccal Film,SCD,ENG,N,,
858095,fentanyl 0.4 MG Buccal Film,fentanyl 400 MCG Buccal Film,SCD,ENG,N,,
858098,fentanyl 0.6 MG Buccal Film,fentanyl 600 MCG Buccal Film,SCD,ENG,N,,
858101,fentanyl 0.8 MG Buccal Film,fentanyl 800 MCG Buccal Film,SCD,ENG,N,,
