rxcui,name,synonym,tty,language,suppress,umlscui,psn
1087463,12 HR chlorpheniramine polistirex 1.6 MG/ML / hydrocodone polistirex 2 MG/ML Extended Release Suspension [Tussionex],Tussionex Pennkinetic ER (chlorpheniramine polistirex 1.6 MG/ML / hydrocodone polistirex 2 MG/ML) 12 HR Extended Release Suspension,SBD,ENG,N,,
1542981,acetaminophen 325 MG / hydrocodone bitartrate 2.5 MG Oral Tablet [Verdrocet],APAP 325 MG / Hydrocodone Bitartrate 2.5 MG Oral Tablet [Verdrocet],SBD,ENG,N,,
1595736,Abuse-Deterrent 24 HR hydrocodone bitartrate 20 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 20 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1595742,Abuse-Deterrent 24 HR hydrocodone bitartrate 30 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 30 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1595748,Abuse-Deterrent 24 HR hydrocodone bitartrate 40 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 40 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1595754,Abuse-Deterrent 24 HR hydrocodone bitartrate 60 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 60 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1595760,Abuse-Deterrent 24 HR hydrocodone bitartrate 80 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 80 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1595766,Abuse-Deterrent 24 HR hydrocodone bitartrate 100 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 100 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1595772,Abuse-Deterrent 24 HR hydrocodone bitartrate 120 MG Extended Release Oral Tablet [Hysingla],Hysingla ER 120 MG 24 HR Extended Release Oral Tablet,SBD,ENG,N,,
1598284,guaifenesin 40 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution [Obredon],Obredon (guaifenesin 200 MG / hydrocodone bitartrate 2.5 MG) per 5 ML Oral Solution,SBD,ENG,N,,
1651564,guaifenesin 40 MG/ML / hydrocodone bitartrate 0.5 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution [Hycofenix],Hycofenix (hydrocodone bitartrate 2.5 MG / guaifenesin 200 MG / pseudoephedrine HCl 30 MG) per 5 ML Oral Solution,SBD,ENG,N,,
1860492,12 HR hydrocodone bitartrate 10 MG Extended Release Oral Capsule [Zohydro],12 HR Zohydro 10 MG Extended Release Oral Capsule,SBD,ENG,N,,
1860494,12 HR hydrocodone bitartrate 15 MG Extended Release Oral Capsule [Zohydro],12 HR Zohydro 15 MG Extended Release Oral Capsule,SBD,ENG,N,,
1860496,12 HR hydrocodone bitartrate 20 MG Extended Release Oral Capsule [Zohydro],12 HR Zohydro 20 MG Extended Release Oral Capsule,SBD,ENG,N,,
1860498,12 HR hydrocodone bitartrate 30 MG Extended Release Oral Capsule [Zohydro],12 HR Zohydro 30 MG Extended Release Oral Capsule,SBD,ENG,N,,
1860500,12 HR hydrocodone bitartrate 40 MG Extended Release Oral Capsule [Zohydro],12 HR Zohydro 40 MG Extended Release Oral Capsule,SBD,ENG,N,,
1860502,12 HR hydrocodone bitartrate 50 MG Extended Release Oral Capsule [Zohydro],12 HR Zohydro 50 MG Extended Release Oral Capsule,SBD,ENG,N,,
856942,acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution [Hycet],APAP 21.7 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML Oral Solution [Hycet],SBD,ENG,N,,
