rxcui,name,synonym,tty,language,suppress,umlscui,psn
104719,lorazepam 1 MG Oral Tablet [Ativan],Ativan 1 MG Oral Tablet,SBD,ENG,N,,
1665190,1 ML lorazepam 2 MG/ML Injection [Ativan],1 ML Ativan 2 MG/ML Injection,SBD,ENG,N,,
1665327,1 ML lorazepam 4 MG/ML Injection [Ativan],1 ML Ativan 4 MG/ML Injection,SBD,ENG,N,,
206819,lorazepam 2 MG/ML Injectable Solution [Ativan],Ativan 2 MG/ML Injectable Solution,SBD,ENG,N,,
206820,lorazepam 4 MG/ML Injectable Solution [Ativan],Ativan 4 MG/ML Injectable Solution,SBD,ENG,N,,
206821,lorazepam 0.5 MG Oral Tablet [Ativan],Ativan 0.5 MG Oral Tablet,SBD,ENG,N,,
206828,lorazepam 2 MG Oral Tablet [Ativan],Ativan 2 MG Oral Tablet,SBD,ENG,N,,
2569571,24 HR lorazepam 1 MG Extended Release Oral Capsule [Loreev],Loreev XR 1 MG 24 HR Extended Release Oral Capsule,SBD,ENG,N,,
2569575,24 HR lorazepam 2 MG Extended Release Oral Capsule [Loreev],24 HR Loreev XR 2 MG Extended Release Oral Capsule,SBD,ENG,N,,
2569580,24 HR lorazepam 3 MG Extended Release Oral Capsule [Loreev],24 HR Loreev XR 3 MG Extended Release Oral Capsule,SBD,ENG,N,,
2594603,24 HR lorazepam 1.5 MG Extended Release Oral Capsule [Loreev],24 HR Loreev 1.5 MG Extended Release Oral Capsule,SBD,ENG,N,,
1665188,1 ML lorazepam 2 MG/ML Injection,lorazepam 2 MG per 1 ML Injection,SCD,ENG,N,,
1665326,1 ML lorazepam 4 MG/ML Injection,lorazepam 4 MG per 1 ML Injection,SCD,ENG,N,,
197900,lorazepam 0.5 MG Oral Tablet,,SCD,ENG,N,,
197901,lorazepam 1 MG Oral Tablet,,SCD,ENG,N,,
197902,lorazepam 2 MG Oral Tablet,,SCD,ENG,N,,
199275,lorazepam 2.5 MG Oral Tablet,,SCD,ENG,N,,
238100,lorazepam 2 MG/ML Injectable Solution,,SCD,ENG,N,,
238101,lorazepam 4 MG/ML Injectable Solution,,SCD,ENG,N,,
2569564,24 HR lorazepam 1 MG Extended Release Oral Capsule,,SCD,ENG,N,,
2569573,24 HR lorazepam 2 MG Extended Release Oral Capsule,,SCD,ENG,N,,
2569577,24 HR lorazepam 3 MG Extended Release Oral Capsule,,SCD,ENG,N,,
2594600,24 HR lorazepam 1.5 MG Extended Release Oral Capsule,,SCD,ENG,N,,
311376,lorazepam 2 MG/ML Oral Solution,lorazepam 2 MG per 1 ML Concentrate for Oral Solution,SCD,ENG,N,,
763028,1 ML lorazepam 2 MG/ML Cartridge,lorazepam 2 MG per 1 ML Cartridge,SCD,ENG,N,,
