rxcui,name,synonym,tty,language,suppress,umlscui,psn
1242106,1 ML meperidine hydrochloride 100 MG/ML Cartridge [Demerol],1 ML Demerol 100 MG/ML Cartridge,SBD,ENG,N,,
1242503,1 ML meperidine hydrochloride 25 MG/ML Cartridge [Demerol],1 ML Demerol 25 MG/ML Cartridge,SBD,ENG,N,,
2539188,1 ML meperidine hydrochloride 50 MG/ML Prefilled Syringe [Demerol],Demerol 50 MG per 1 ML Prefilled Syringe,SBD,ENG,N,,
2539192,1 ML meperidine hydrochloride 25 MG/ML Prefilled Syringe [Demerol],Demerol 25 MG per 1 ML Prefilled Syringe,SBD,ENG,N,,
861517,meperidine hydrochloride 100 MG Oral Tablet [Demerol],Demerol 100 MG Oral Tablet,SBD,ENG,N,,
861522,meperidine hydrochloride 50 MG/ML Injectable Solution [Demerol],Demerol 50 MG/ML Injectable Solution,SBD,ENG,N,,
861529,1 ML meperidine hydrochloride 50 MG/ML Cartridge [Demerol],1 ML Demerol 50 MG/ML Cartridge,SBD,ENG,N,,
861617,1 ML meperidine hydrochloride 75 MG/ML Cartridge [Demerol],1 ML Demerol 75 MG/ML Cartridge,SBD,ENG,N,,
1665685,1 ML meperidine hydrochloride 100 MG/ML Injection,meperidine HCl 100 MG per 1 ML Injection,SCD,ENG,N,,
1665697,1 ML meperidine hydrochloride 50 MG/ML Injection,meperidine HCl 50 MG per 1 ML Injection,SCD,ENG,N,,
2539186,1 ML meperidine hydrochloride 50 MG/ML Prefilled Syringe,meperidine hydrochloride 50 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
2539191,1 ML meperidine hydrochloride 25 MG/ML Prefilled Syringe,meperidine hydrochloride 25 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
860792,1 ML meperidine hydrochloride 75 MG/ML Cartridge,meperidine HCl 75 MG per 1 ML Cartridge,SCD,ENG,N,,
861447,meperidine hydrochloride 10 MG/ML Injectable Solution,,SCD,ENG,N,,
861455,meperidine hydrochloride 100 MG Oral Tablet,pethidine hydrochloride 100 MG Oral Tablet,SCD,ENG,N,,
861459,meperidine hydrochloride 100 MG/ML Injectable Solution,,SCD,ENG,N,,
861463,meperidine hydrochloride 50 MG/ML Injectable Solution,,SCD,ENG,N,,
861467,meperidine hydrochloride 50 MG Oral Tablet,,SCD,ENG,N,,
861473,1 ML meperidine hydrochloride 50 MG/ML Cartridge,meperidine HCl 50 MG per 1 ML Cartridge,SCD,ENG,N,,
861476,1 ML meperidine hydrochloride 25 MG/ML Injection,meperidine HCl 25 MG per 1 ML Injection,SCD,ENG,N,,
861479,meperidine hydrochloride 10 MG/ML Oral Solution,meperidine HCl 50 MG per 5 ML Oral Solution,SCD,ENG,N,,
861482,1 ML meperidine hydrochloride 75 MG/ML Injection,meperidine HCl 75 MG per 1 ML Injection,SCD,ENG,N,,
861493,1 ML meperidine hydrochloride 100 MG/ML Cartridge,meperidine HCl 100 MG per 1 ML Cartridge,SCD,ENG,N,,
861494,1 ML meperidine hydrochloride 25 MG/ML Cartridge,meperidine HCl 25 MG per 1 ML Cartridge,SCD,ENG,N,,
861578,meperidine hydrochloride 50 MG / promethazine hydrochloride 25 MG Oral Capsule,,SCD,ENG,N,,
