rxcui,name,synonym,tty,language,suppress,umlscui,psn
1990745,methadone hydrochloride 40 MG Tablet for Oral Suspension [Diskets],Diskets 40 MG Tablet for Oral Suspension,SBD,ENG,N,,
864708,methadone hydrochloride 10 MG Oral Tablet [Dolophine],Dolophine 10 MG Oral Tablet,SBD,ENG,N,,
864720,methadone hydrochloride 5 MG Oral Tablet [Dolophine],Dolophine 5 MG Oral Tablet,SBD,ENG,N,,
864980,methadone hydrochloride 40 MG Tablet for Oral Suspension [Methadose],Methadose 40 MG Tablet for Oral Suspension,SBD,ENG,N,,
991149,methadone hydrochloride 10 MG/ML Oral Solution [Methadose],Methadose 10 MG per 1 ML Concentrate for Oral Solution,SBD,ENG,N,,
864706,methadone hydrochloride 10 MG Oral Tablet,,SCD,ENG,N,,
864714,methadone hydrochloride 10 MG/ML Injectable Solution,,SCD,ENG,N,,
864718,methadone hydrochloride 5 MG Oral Tablet,,SCD,ENG,N,,
864761,methadone hydrochloride 1 MG/ML Oral Solution,methadone HCl 5 MG per 5 ML Oral Solution,SCD,ENG,N,,
864769,methadone hydrochloride 2 MG/ML Oral Solution,methadone hydrochloride 10 MG per 5 ML Oral Solution,SCD,ENG,N,,
864826,methadone hydrochloride 5 MG/ML Oral Solution,methadone hydrochloride 5 MG/ML Oral Syrup,SCD,ENG,N,,
864978,methadone hydrochloride 40 MG Tablet for Oral Suspension,methadone HCl 40 MG Tablet for Oral Suspension,SCD,ENG,N,,
864984,methadone hydrochloride 20 MG/ML Oral Solution,methadone hydrochloride 20 MG/ML Concentrate for Oral Solution,SCD,ENG,N,,
991147,methadone hydrochloride 10 MG/ML Oral Solution,methadone hydrochloride 10 MG per 1 ML Oral Solution,SCD,ENG,N,,
