rxcui,name,synonym,tty,language,suppress,umlscui,psn
2173500,midazolam 50 MG/ML Nasal Spray [Nayzilam],Nayzilam 50 MG/ML Nasal Spray,SBD,ENG,N,,
106517,midazolam 2 MG/ML Injectable Solution,midazolam 10 MG per 5 ML Injectable Solution,SCD,ENG,N,,
1551393,2 ML midazolam 5 MG/ML Prefilled Syringe,midazolam (as midazolam hydrochloride) 10 MG per 2 ML Prefilled Syringe,SCD,ENG,N,,
1551395,1 ML midazolam 5 MG/ML Prefilled Syringe,midazolam (as midazolam hydrochloride) 5 MG per 1 ML Prefilled Syringe,SCD,ENG,N,,
1666777,2 ML midazolam 1 MG/ML Cartridge,midazolam (as midazolam hydrochloride) 2 MG per 2 ML Cartridge,SCD,ENG,N,,
1666798,2 ML midazolam 1 MG/ML Injection,midazolam 2 MG per 2 ML Injection,SCD,ENG,N,,
1666800,5 ML midazolam 1 MG/ML Injection,midazolam 5 MG per 5 ML Injection,SCD,ENG,N,,
1666814,1 ML midazolam 5 MG/ML Injection,midazolam (as midazolam hydrochloride) 5 MG per 1 ML Injection,SCD,ENG,N,,
1666821,1 ML midazolam 5 MG/ML Cartridge,midazolam 5 MG per 1 ML Cartridge,SCD,ENG,N,,
1666823,2 ML midazolam 5 MG/ML Injection,midazolam 10 MG per 2 ML Injection,SCD,ENG,N,,
2173494,midazolam 50 MG/ML Nasal Spray,midazolam 5 MG per 0.1 ML Nasal Spray,SCD,ENG,N,,
248630,midazolam 15 MG Oral Tablet,,SCD,ENG,N,,
2541170,50 ML midazolam 1 MG/ML Injection,midazolam 50 MG per 50 ML Injection,SCD,ENG,N,,
2541171,100 ML midazolam 1 MG/ML Injection,midazolam 100 MG per 100 ML Injection,SCD,ENG,N,,
2608698,0.7 ML midazolam 14.3 MG/ML Auto-Injector,midazolam 10 MG per 0.7 ML Auto-Injector,SCD,ENG,N,,
311700,midazolam 1 MG/ML Injectable Solution,midazolam (as midazolam hydrochloride) 1 MG/ML Injectable Solution,SCD,ENG,N,,
311702,midazolam 5 MG/ML Injectable Solution,midazolam (as midazolam hydrochloride) 5 MG/ML Injectable Solution,SCD,ENG,N,,
422410,midazolam 2 MG/ML Oral Solution,midazolam 10 MG per 5 ML Oral Solution,SCD,ENG,N,,
998211,2 ML midazolam 1 MG/ML Prefilled Syringe,midazolam (as midazolam hydrochloride) 2 MG per 2 ML Prefilled Syringe,SCD,ENG,N,,
