rxcui,name,synonym,tty,language,suppress,umlscui,psn
1731999,20 ML morphine sulfate 10 MG/ML Injection [Infumorph],Infumorph 200 MG per 20 ML Injection,SBD,ENG,N,,
2055307,20 ML morphine sulfate 10 MG/ML Injection [Mitigo],20 ML Mitigo 10 MG/ML Injection,SBD,ENG,N,,
2055311,20 ML morphine sulfate 25 MG/ML Injection [Mitigo],20 ML Mitigo 25 MG/ML Injection,SBD,ENG,N,,
892473,10 ML morphine sulfate 0.5 MG/ML Injection [Duramorph],Duramorph 5 MG per 10 ML Injection,SBD,ENG,N,,
892489,10 ML morphine sulfate 1 MG/ML Injection [Duramorph],Duramorph 10 MG per 10 ML Injection,SBD,ENG,N,,
892496,morphine sulfate 10 MG Extended Release Oral Capsule [Kadian],Kadian 10 MG Extended Release Oral Capsule,SBD,ENG,N,,
892556,morphine sulfate 100 MG Extended Release Oral Capsule [Kadian],Kadian 100 MG Extended Release Oral Capsule,SBD,ENG,N,,
892560,morphine sulfate 100 MG Extended Release Oral Tablet [MS Contin],MS Contin 100 MG Extended Release Oral Tablet,SBD,ENG,N,,
892574,morphine sulfate 15 MG Extended Release Oral Tablet [MS Contin],MS Contin 15 MG Extended Release Oral Tablet,SBD,ENG,N,,
892598,morphine sulfate 20 MG Extended Release Oral Capsule [Kadian],Kadian 20 MG Extended Release Oral Capsule,SBD,ENG,N,,
892648,morphine sulfate 200 MG Extended Release Oral Tablet [MS Contin],MS Contin 200 MG Extended Release Oral Tablet,SBD,ENG,N,,
892652,20 ML morphine sulfate 25 MG/ML Injection [Infumorph],Infumorph 500 MG per 20 ML Injection,SBD,ENG,N,,
892658,morphine sulfate 30 MG Extended Release Oral Capsule [Kadian],Kadian 30 MG Extended Release Oral Capsule,SBD,ENG,N,,
892660,morphine sulfate 30 MG Extended Release Oral Tablet [MS Contin],MS Contin 30 MG Extended Release Oral Tablet,SBD,ENG,N,,
894803,morphine sulfate 50 MG Extended Release Oral Capsule [Kadian],Kadian 50 MG Extended Release Oral Capsule,SBD,ENG,N,,
894805,morphine sulfate 60 MG Extended Release Oral Capsule [Kadian],Kadian 60 MG Extended Release Oral Capsule,SBD,ENG,N,,
894813,morphine sulfate 60 MG Extended Release Oral Tablet [MS Contin],MS Contin 60 MG Extended Release Oral Tablet,SBD,ENG,N,,
1303736,morphine sulfate 40 MG Extended Release Oral Capsule,MS 40 MG Extended Release Oral Capsule,SCD,ENG,N,,
1442790,1 ML morphine sulfate 5 MG/ML Prefilled Syringe,1 ML MS 5 MG/ML Prefilled Syringe,SCD,ENG,N,,
1728783,10 ML morphine sulfate 0.5 MG/ML Injection,10 ML MS 0.5 MG/ML Injection,SCD,ENG,N,,
1728791,2 ML morphine sulfate 0.5 MG/ML Injection,2 ML MS 0.5 MG/ML Injection,SCD,ENG,N,,
1728800,10 ML morphine sulfate 1 MG/ML Injection,10 ML MS 1 MG/ML Injection,SCD,ENG,N,,
1728805,2 ML morphine sulfate 1 MG/ML Injection,2 ML MS 1 MG/ML Injection,SCD,ENG,N,,
