rxcui,name,synonym,tty,language,suppress,umlscui,psn
1049216,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet],Endocet 10/325 Oral Tablet,SBD,ENG,N,,
1049223,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Endocet],Endocet 5/325 Oral Tablet,SBD,ENG,N,,
1049227,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Endocet],Endocet 7.5/325 Oral Tablet,SBD,ENG,N,,
1049504,Abuse-Deterrent 12 HR oxycodone hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 10 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049545,Abuse-Deterrent 12 HR oxycodone hydrochloride 15 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 15 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049565,Abuse-Deterrent 12 HR oxycodone hydrochloride 20 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 20 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049576,Abuse-Deterrent 12 HR oxycodone hydrochloride 30 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 30 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049586,Abuse-Deterrent 12 HR oxycodone hydrochloride 40 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 40 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049595,Abuse-Deterrent 12 HR oxycodone hydrochloride 60 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 60 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049601,Abuse-Deterrent 12 HR oxycodone hydrochloride 80 MG Extended Release Oral Tablet [Oxycontin],12 HR Oxycontin 80 MG Extended Release Oral Tablet,SBD,ENG,N,,
1049613,oxycodone hydrochloride 15 MG Oral Tablet [Roxicodone],Roxicodone 15 MG Oral Tablet,SBD,ENG,N,,
1049620,oxycodone hydrochloride 30 MG Oral Tablet [Roxicodone],Roxicodone 30 MG Oral Tablet,SBD,ENG,N,,
1049623,oxycodone hydrochloride 5 MG Oral Tablet [Roxicodone],Roxicodone 5 MG Oral Tablet,SBD,ENG,N,,
1049625,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet],Percocet 10/325 Oral Tablet,SBD,ENG,N,,
1049637,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Percocet],Percocet 2.5/325 Oral Tablet,SBD,ENG,N,,
1049640,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Percocet],Percocet 5/325 Oral Tablet,SBD,ENG,N,,
1049642,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet],Percocet 7.5/325 Oral Tablet,SBD,ENG,N,,
1487288,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Endocet],Endocet (acetaminophen 325 MG / oxycodone HCl 2.5 MG) Oral Tablet,SBD,ENG,N,,
1537116,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Primlev],Primlev 5/300 Oral Tablet,SBD,ENG,N,,
1537120,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Primlev],Primlev 10 / 300 Oral Tablet,SBD,ENG,N,,
1537122,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Primlev],Primlev 7.5 / 300 Oral Tablet,SBD,ENG,N,,
1664448,oxycodone hydrochloride 5 MG Oral Tablet [Oxaydo],Oxaydo 5 MG Oral Tablet,SBD,ENG,N,,
1664634,oxycodone hydrochloride 7.5 MG Oral Tablet [Oxaydo],Oxaydo 7.5 MG Oral Tablet,SBD,ENG,N,,
1790533,Abuse-Deterrent 12 HR oxycodone 9 MG Extended Release Oral Capsule [Xtampza],Xtampza ER 9 MG 12 HR Extended Release Oral Capsule,SBD,ENG,N,,
1791560,Abuse-Deterrent 12 HR oxycodone 13.5 MG Extended Release Oral Capsule [Xtampza],Xtampza ER 13.5 MG 12 HR Extended Release Oral Capsule,SBD,ENG,N,,
1791569,Abuse-Deterrent 12 HR oxycodone 18 MG Extended Release Oral Capsule [Xtampza],Xtampza ER 18 MG 12 HR Extended Release Oral Capsule,SBD,ENG,N,,
1791576,Abuse-Deterrent 12 HR oxycodone 27 MG Extended Release Oral Capsule [Xtampza],Xtampza ER 27 MG 12 HR Extended Release Oral Capsule,SBD,ENG,N,,
1791582,Abuse-Deterrent 12 HR oxycodone 36 MG Extended Release Oral Capsule [Xtampza],Xtampza ER 36 MG 12 HR Extended Release Oral Capsule,SBD,ENG,N,,
1944535,Abuse-Deterrent oxycodone hydrochloride 15 MG Oral Tablet [Roxybond],RoxyBond 15 MG Oral Tablet,SBD,ENG,N,,
1944540,Abuse-Deterrent oxycodone hydrochloride 30 MG Oral Tablet [Roxybond],RoxyBond 30 MG Oral Tablet,SBD,ENG,N,,
1944543,Abuse-Deterrent oxycodone hydrochloride 5 MG Oral Tablet [Roxybond],RoxyBond 5 MG Oral Tablet,SBD,ENG,N,,
2045500,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Nalocet],Nalocet (oxycodone HCl 2.5 MG / acetaminophen 300 MG) Oral Tablet,SBD,ENG,N,,
2279510,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Prolate],Prolate (acetaminophen 300 MG / oxycodone HCl 10 MG) Oral Tablet,SBD,ENG,N,,
