rxcui,name,synonym,tty,language,suppress,umlscui,psn
1149367,12 HR tapentadol 100 MG Extended Release Oral Tablet [Nucynta],12 HR Nucynta 100 MG Extended Release Oral Tablet,SBD,ENG,N,,
1149370,12 HR tapentadol 150 MG Extended Release Oral Tablet [Nucynta],12 HR Nucynta 150 MG Extended Release Oral Tablet,SBD,ENG,N,,
1149373,12 HR tapentadol 200 MG Extended Release Oral Tablet [Nucynta],12 HR Nucynta 200 MG Extended Release Oral Tablet,SBD,ENG,N,,
1149376,12 HR tapentadol 250 MG Extended Release Oral Tablet [Nucynta],12 HR Nucynta 250 MG Extended Release Oral Tablet,SBD,ENG,N,,
1149378,12 HR tapentadol 50 MG Extended Release Oral Tablet [Nucynta],12 HR Nucynta 50 MG Extended Release Oral Tablet,SBD,ENG,N,,
854140,tapentadol 100 MG Oral Tablet [Nucynta],Nucynta 100 MG Oral Tablet,SBD,ENG,N,,
854142,tapentadol 50 MG Oral Tablet [Nucynta],Nucynta 50 MG Oral Tablet,SBD,ENG,N,,
854144,tapentadol 75 MG Oral Tablet [Nucynta],Nucynta 75 MG Oral Tablet,SBD,ENG,N,,
1148797,12 HR tapentadol 100 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1148800,12 HR tapentadol 150 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1148803,12 HR tapentadol 200 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1148807,12 HR tapentadol 250 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1148809,12 HR tapentadol 50 MG Extended Release Oral Tablet,,SCD,ENG,N,,
1356315,tapentadol 20 MG/ML Oral Solution,tapentadol 20 MG per 1 ML Oral Solution,SCD,ENG,N,,
825409,tapentadol 100 MG Oral Tablet,tapentadol 100 MG (as tapentadol hydrochloride) Oral Tablet,SCD,ENG,N,,
825411,tapentadol 50 MG Oral Tablet,tapentadol 50 MG (as tapentadol hydrochloride) Oral Tablet,SCD,ENG,N,,
825413,tapentadol 75 MG Oral Tablet,tapentadol 75 MG (as tapentadol hydrochloride) Oral Tablet,SCD,ENG,N,,
