rxcui,name,synonym,tty,language,suppress,umlscui,psn
1100453,pentobarbital sodium 390 MG/ML / phenytoin sodium 50 MG/ML Injectable Solution [Euthasol],Pentobarbital Sodium 390 MG/ML / DPH sodium 50 MG/ML Injectable Solution [Euthasol],SBD,ENG,N,,
1602561,pentobarbital sodium 392 MG/ML Injectable Solution [Fatal-Plus],Fatal-Plus 392 MG/ML Injectable Solution,SBD,ENG,N,,
1603490,pentobarbital sodium 390 MG/ML Injectable Solution [Fatal-Plus],Fatal-Plus 390 MG/ML Injectable Solution,SBD,ENG,N,,
207468,pentobarbital sodium 50 MG/ML Injectable Solution [Nembutal],Nembutal 50 MG/ML Injectable Solution,SBD,ENG,N,,
2626485,pentobarbital sodium 390 MG/ML / phenytoin sodium 50 MG/ML Injectable Solution [Euthaphen],pentobarbital sodium 390 MG/ML / DPH sodium 50 MG/ML Injectable Solution [Euthaphen],SBD,ENG,N,,
2626494,pentobarbital sodium 390 MG/ML Injectable Solution [Pentobarsol],Pentobarsol 390 MG/ML Injectable Solution,SBD,ENG,N,,
1099882,pentobarbital sodium 392 MG/ML Injectable Solution,,SCD,ENG,N,,
1100449,pentobarbital sodium 390 MG/ML / phenytoin sodium 50 MG/ML Injectable Solution,Pentobarbital Sodium 390 MG/ML / DPH sodium 50 MG/ML Injectable Solution,SCD,ENG,N,,
1603488,pentobarbital sodium 390 MG/ML Injectable Solution,,SCD,ENG,N,,
238090,pentobarbital sodium 50 MG/ML Injectable Solution,,SCD,ENG,N,,
312295,pentobarbital sodium 120 MG Rectal Suppository,,SCD,ENG,N,,
312296,pentobarbital sodium 200 MG Rectal Suppository,,SCD,ENG,N,,
312297,pentobarbital sodium 30 MG Rectal Suppository,,SCD,ENG,N,,
312298,pentobarbital sodium 50 MG Oral Capsule,,SCD,ENG,N,,
312299,pentobarbital sodium 60 MG Rectal Suppository,,SCD,ENG,N,,
315167,pentobarbital sodium 100 MG Oral Capsule,,SCD,ENG,N,,
392262,pentobarbital sodium 50 MG/ML Oral Solution,,SCD,ENG,N,,
756322,pentobarbital sodium 3.64 MG/ML Oral Solution,,SCD,ENG,N,,
756323,pentobarbital sodium 4 MG/ML Oral Solution,,SCD,ENG,N,,
