rxcui,name,synonym,tty,language,suppress,umlscui,psn
1046924,atropine sulfate 0.00388 MG/ML / hyoscyamine sulfate 0.0207 MG/ML / phenobarbital 3.24 MG/ML / scopolamine hydrobromide 0.0013 MG/ML Oral Solution [Donnatal],Donnatal (atropine sulfate 0.00388 MG / hyoscyamine sulfate 0.0207 MG / phenobarbital 3.24 MG / scopolamine hydrobromide 0.0013 MG) per ML Oral Solution,SBD,ENG,N,,
1046978,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Donnatal],Donnatal (atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG) Oral Tablet,SBD,ENG,N,,
1046999,atropine sulfate 0.0582 MG / hyoscyamine sulfate 0.311 MG / phenobarbital 48.6 MG / scopolamine hydrobromide 0.0195 MG Extended Release Oral Tablet [Donnatal],Donnatal (atropine sulfate 0.0582 MG / hyoscyamine sulfate 0.311 MG / phenobarbital 48.6 MG / scopolamine hydrobromide 0.0195 MG) Extended Release Oral Tablet,SBD,ENG,N,,
1739887,atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine hydrobromide 0.0065 MG Oral Tablet [Phenohytro],Phenohytro (atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine HBr 0.0065 MG) Oral Tablet,SBD,ENG,N,,
2048017,atropine sulfate 0.00388 MG/ML / hyoscyamine sulfate 0.0207 MG/ML / phenobarbital 3.24 MG/ML / scopolamine hydrobromide 0.0013 MG/ML Oral Solution [Phenohytro],Phenohytro (atropine sulfate 0.0194 MG / hyoscyamine sulfate 0.1037 MG / phenobarbital 16.2 MG / scopolamine HBr 0.0065 MG) per 5 ML Oral Solution,SBD,ENG,N,,
2624724,phenobarbital sodium 100 MG Injection [Sezaby],Sezaby 100 MG Injection,SBD,ENG,N,,
2709585,phenobarbital 16.2 MG Oral Tablet [Fidoquel],Fidoquel 16.2 MG Oral Tablet,SBD,ENG,N,,
2709587,phenobarbital 30 MG Oral Tablet [Fidoquel],Fidoquel 30 MG Oral Tablet,SBD,ENG,N,,
2709589,phenobarbital 32.4 MG Oral Tablet [Fidoquel],Fidoquel 32.4 MG Oral Tablet,SBD,ENG,N,,
2709591,phenobarbital 60 MG Oral Tablet [Fidoquel],Fidoquel 60 MG Oral Tablet,SBD,ENG,N,,
2709593,phenobarbital 64.8 MG Oral Tablet [Fidoquel],Fidoquel 64.8 MG Oral Tablet,SBD,ENG,N,,
2709595,phenobarbital 97.2 MG Oral Tablet [Fidoquel],Fidoquel 97.2 MG Oral Tablet,SBD,ENG,N,,
2709597,phenobarbital 100 MG Oral Tablet [Fidoquel],Fidoquel 100 MG Oral Tablet,SBD,ENG,N,,
