substance,cscn,csa_schedule,narcotic,other_names
Alfentanil,9737,II,Y,Alfenta
Brivaracetam,2710,V,N,BRV; UCB-34714; Briviact; ((2S)-2-[(4R)-2-oxo-4-propylpyrrolidin-1-yl] butanamide)
Buprenorphine,9064,III,Y,Buprenex; Temgesic; Subutex; Suboxone
Butorphanol,9720,IV,N,Stadol; Stadol NS; Torbugesic; Torbutrol
Chlordiazepoxide,2744,IV,N,Librium; Libritabs; Limbitrol; SK-Lygen
Clonazepam,2737,IV,N,Klonopin; Clonopin
Codeine,9050,II,Y,Morphine methyl ester; methyl morphine
Diazepam,2765,IV,N,Valium; Diastat
Dihydrocodeine,9120,II,Y,Didrate; Parzone
Fentanyl,9801,II,Y,Duragesic; Oralet; Actiq; Sublimaze; Innovar
Fospropofol,2138,IV,N,Lusedra
Hydrocodone,9193,II,Y,Dihydrocodeinone
Hydromorphone,9150,II,Y,Dilaudid; dihydromorphinone
Ketamine,7285,III,N,Ketaset; Ketalar; Special K; K
Levorphanol,9220,II,Y,Levo-Dromoran
Lorazepam,2885,IV,N,Ativan
Meperidine,9230,II,Y,Demerol; Mepergan; pethidine
Methadone,9250,II,Y,Dolophine; Methadose; Amidone
Methohexital,2264,IV,N,Brevital
Midazolam,2884,IV,N,Versed
Morphine,9300,II,Y,MS Contin; Roxanol; Oramorph; RMS; MSIR
Oliceridine (N-[(3-methoxythiophen-2-yl)methyl] ({2-[(9R)-9-(pyridin-2-yl)-6-oxaspiro [4.5]decan-9-yl]ethyl{time} )amine fumarate),9245,II,Y,
Oxycodone,9143,II,Y,OxyContin; Percocet; Endocet; Roxicodone; Roxicet
Oxymorphone,9652,II,Y,Numorphan
Pentazocine,9709,IV,N,Talwin; Talwin NX; Talacen; Talwin Compound
Pentobarbital,2270,II,N,Nembutal
Perampanel,2261,III,N,"Fycompa; [2-(2-oxo-l-phenyl-5-pyridin-2-yl-l ,2-dihydropyridin-3-yl) benzonitrile]"
Phenobarbital,2285,IV,N,Luminal; Bellergal-S
Remifentanil,9739,II,Y,Ultiva
Sufentanil,9740,II,Y,Sufenta
Tapentadol,9780,II,Y,
Thiopental,2100,III,N,Pentothal
Tramadol (2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol),9752,IV,Y,Tramadol
