DEA Name,RX CUI,Exact Match
alfentanil,480,Exact Match
brivaracetam,1739745,Exact Match
buprenorphine,1819,Exact Match
butorphanol,1841,Exact Match
chlordiazepoxide,2356,Exact Match
clonazepam,2598,Exact Match
codeine,2670,Exact Match
diazepam,3322,Exact Match
dihydrocodeine,23088,Exact Match
fentanyl,4337,Exact Match
fospropofol,828682,Exact Match
hydrocodone,5489,Exact Match
hydromorphone,3423,Exact Match
ketamine,6130,Exact Match
levorphanol,6378,Exact Match
lorazepam,6470,Exact Match
meperidine,6754,Exact Match
methadone,6813,Exact Match
methohexital,6847,Exact Match
midazolam,6960,Exact Match
morphine,7052,Exact Match
oliceridine ,2392230,Exact Match
oxycodone,7804,Exact Match
oxymorphone,7814,Exact Match
pentazocine,8001,Exact Match
pentobarbital,8004,Exact Match
perampanel,1356552,Exact Match
phenobarbital,8134,Exact Match
remifentanil,73032,Exact Match
sufentanil,56795,Exact Match
tapentadol,787390,Exact Match
thiopental,10493,Exact Match
tramadol ,10689,Exact Match
