substance,cscn,csa_schedule,narcotic,other_names
"[3,2-c]-Furazan-5α-androstan-17β-ol",4000,III,N,
"[3,2-c]Pyrazole-androst-4-en-17β-ol",4000,III,N,
13β-Ethyl-17β-hydroxygon-4-en-3-one,4000,III,N,
"17α-Methyl-3α,17β-dihydroxy-5α-androstane",4000,III,N,
"17α-Methyl-3β,17β-dihydroxy-5α-androstane",4000,III,N,
"17α-Methyl-3β,17β-dihydroxyandrost-4-ene",4000,III,N,
17α-Methyl-4-hydroxynandrolone (17α-methyl-4-hydroxy-17β-hydroxyestr-4-en-3-one),4000,III,N,
17α-Methyl-5α-androstan-17β-ol,4000,III,N,
"17α-Methyl-androst-2-ene-3,17β-diol",4000,III,N,
"17α-Methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,
17α-Methyl-androstan-3-hydroxyimine-17β-ol,4000,III,N,
17α-Methyl-Δ1-dihydrotestosterone (17β-hydroxy-17α-methyl-5α-androst-1-en-3-one),4000,III,N,17α-Methyl-1-testosterone
"17β-Hydroxy-androstano[2,3-d]isoxazole",4000,III,N,
"17β-Hydroxy-androstano[3,2-c]isoxazole",4000,III,N,
"18a-Homo-3-hydroxy-estra-2,5(10)-dien-17-one",4000,III,N,
"19-Nor-4,9(10)-androstadienedione (estra-4,9(10)-diene-3,17-dione)",4000,III,N,
"19-Nor-4-androstenediol (3α,17β-dihydroxyestr-4-ene)",4000,III,N,
"19-Nor-4-androstenediol (3β,17β-dihydroxyestr-4-ene)",4000,III,N,
"19-Nor-4-androstenedione (estr-4-en-3,17-dione)",4000,III,N,
"19-Nor-5-androstenediol (3α,17β-dihydroxyestr-5-ene)",4000,III,N,
"19-Nor-5-androstenediol (3β,17β-dihydroxyestr-5-ene)",4000,III,N,
"19-Nor-5-androstenedione (estr-5-en-3,17-dione)",4000,III,N,
"1-Androstenediol (3α,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,
"1-Androstenediol (3β,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,
"1-Androstenedione (5α-androst-1-en-3,17-dione)",4000,III,N,
1-Phenylcyclohexylamine,7460,II,N,PCP precursor
1-Piperidinocyclohexanecarbonitrile,8603,II,N,PCC; PCP precursor
"2α,17α-Dimethyl-17β-hydroxy-5β-androstan-3-one",4000,III,N,
"2α,3α-Epithio-17α-methyl-5α-androstan-17β-ol",4000,III,N,
"3α,17β-Dihydroxy-5α-androstane",4000,III,N,
"3β,17β-Dihydroxy-5α-androstane",4000,III,N,
"3β-Hydroxy-estra-4,9,11-trien-17-one",4000,III,N,
"4-Androstenediol (3β,17β-dihydroxy-androst-4-ene)",4000,III,N,4-AD
"4-Androstenedione (androst-4-en-3,17-dione)",4000,III,N,
4-Anilino-N-phenethyl-4-piperidine (ANPP),8333,II,N,ANPP; despropionyl fentanyl
4-Chloro-17α-methyl-17β-hydroxy-androst-4-en-3-one,4000,III,N,
"4-Chloro-17α-methyl-17β-hydroxy-androst-4-ene-3,11-dione",4000,III,N,
"4-Chloro-17α-methyl-androst-4-ene-3β,17β-diol",4000,III,N,
"4-Chloro-17α-methyl-androsta-1,4-diene-3,17β-diol",4000,III,N,
4-Dihydrotestosterone (17β-hydroxy-androstan-3-one),4000,III,N,Anabolex; Andractim; Pesomax; Stanolone
"4-Hydroxy-19-nortestosterone (4,17β-dihydroxyestr-4-en-3-one)",4000,III,N,
"4-Hydroxy-androst-4-ene-3,17-dione",4000,III,N,"Listed as 4-Hydroxy-androst-4-ene-3,17-dione[3,2-c]pyrazole-5α-androstan-17β-ol"
"4-Hydroxytestosterone (4,17β-dihydroxyandrost-4-en-3-one)",4000,III,N,
"5-Androstenediol (3β,17β-dihydroxy-androst-5-ene)",4000,III,N,
"5-Androstenedione (androst-5-en-3,17-dione)",4000,III,N,
"5α-Androstan-3,17-dione",4000,III,N,Androstanedione
"5α-Androstan-3,6,17-trione",4000,III,N,
"6-Bromo-androsta-1,4-diene-3,17-dione",4000,III,N,
"6-Bromo-androstan-3,17-dione",4000,III,N,
"6α-Methyl-androst-4-ene-3,17-dione",4000,III,N,
Alfaxalone,2731,IV,N,"Alfaxan; 5α-pregnan-3α-ol-11,20-dione"
Alfentanil,9737,II,Y,Alfenta
Alphaprodine,9010,II,Y,Nisentil
Alprazolam,2882,IV,N,Xanax
Amobarbital,2125,II,N,Amytal; Tuinal
Amobarbital & noncontrolled active ingred.,2126,III,N,
Amobarbital suppository dosage form,2126,III,N,
Amphetamine,1100,II,N,Dexedrine; Adderall; Obetrol
Anabolic steroids,4000,III,N,Any substance meeting the definition of anabolic steroid as set forth in 21 CFR 1300.01
Anileridine,9020,II,Y,Leritine
Aprobarbital,2100,III,N,Alurate
Barbital,2145,IV,N,Veronal; Plexonal; barbitone
Barbituric acid derivative,2100,III,N,Barbiturates not specifically listed
Benzphetamine,1228,III,N,Didrex; Inapetyl
Bezitramide,9800,II,Y,Burgodin
"Bolasterone (7α,17α-dimethyl-17β-hydroxyandrost-4-en-3-one)",4000,III,N,
"Boldenone (17β-hydroxyandrost-1,4-diene-3-one)",4000,III,N,Equipoise; Parenabol; Vebonol; dehydrotestosterone
"Boldione (androsta-1,4-diene-3,17-dione)",4000,III,N,
Brexanolone (3α-hydroxy-5α-pregnan-20-one),2400,IV,N,Allopregnanolone
Brivaracetam,2710,V,N,BRV; UCB-34714; Briviact; ((2S)-2-[(4R)-2-oxo-4-propylpyrrolidin-1-yl] butanamide)
Bromazepam,2748,IV,N,Lexotan; Lexatin; Lexotanil
Buprenorphine,9064,III,Y,Buprenex; Temgesic; Subutex; Suboxone
Butabarbital (secbutabarbital),2100,III,N,Butisol; Butibel
Butalbital,2100,III,N,Fiorinal; Butalbital with aspirin
Butobarbital (butethal),2100,III,N,Soneryl (UK)
Butorphanol,9720,IV,N,Stadol; Stadol NS; Torbugesic; Torbutrol
"Calusterone (7β,17α-dimethyl-17β-hydroxyandrost-4-en-3-one)",4000,III,N,Methosarb
Camazepam,2749,IV,N,Albego; Limpidon; Paxor
Carfentanil,9743,II,Y,Wildnil
Carisoprodol,8192,IV,N,Soma
Cathine,1230,IV,N,"Constituent of ""Khat"" plant; (+)-norpseudoephedrine"
Cenobamate ([(1R)-1-(2-chlorophenyl)-2-(tetrazol-2-yl)ethyl]carbamate),2720,V,N,"2H-Tetrazole-2-ethanol, alpha-(2-chlorophenyl)-, carbamate (ester), (alphaR)-; carbamic acid ®-(+)-1-(2-chlorophenyl)-2-(2H-tetrazol-2-yl)ethyl ester)"
Chloral betaine,2460,IV,N,Beta Chlor
Chloral hydrate,2465,IV,N,Noctec
